,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,,,117,11110,1118,,,,,,,,,,,,,,
1,50,100000,,,,0.08,,360,510,,,,,,,,,,
2,000,,,,,,,,550,,,,,,,,,,
3,,,,,,,,,,,,,,0002,,011.2,,,
4,,,,,,,,,,,,,,0004,,,,,
5,,,,,,,,,,,,,100,0002,,,,,
6,,,,,,,,,,Co,,,600,0002,,,,,
7,,,,,,,,,,,0000000,,100,,,,,100,
8,,,4580,,,,,,,,0000000,,,,,,,000,
9,,,,,,,,,,,,,I0,,,,,,
10,,000080,,,,,,,,uz,,,,577,3100,,50,,
11,10,000080,8800,2980,,,2200,1770,1010,,,,100,,,,,100,
12,,,,,,,,,,,,,,,8700,,100,06'0,
13,898,,,,,8500,2200,2000,8000,Cu,,27,000,188,1100,1045,,900 090,
14,,,,,,,,peed,,,R00r,,,,,Jeat,,,seed
