,0,1,2,3,4,5,6,7,8,9,10,11,12
0,Reference,Subjects,Sex,Age,No.,Folate Intake,Folate Intake,,Folate status,,Dietary,CAN-Pro,Folate
1,,,,(yrs),,Food,Total,Serum,RBC,HCY,assessment,DB,assay
2,,,,,,(ug/d),g DFE/d,(ng/mL),(ng/mL),(umol/L),method,version?,
3,Han (2009)[23],Children,,1,18,244.1,,33.5,,3.5,Record (1 d),3.0+,MB
4,,,,1.5,19,272.6,,,,,,,
5,,,,2,18,302.6,,,,,,,
6,,,,3,18,342.2,,,,,,,
7,Kim et al. (2007) [27],Children,,2,9,,97.4,10.0,,,Recall (3 d),2.0,RI
8,,,,3,11,,105.7,7.3,,,,,
9,,,,4,9,,135.4,8.5,,,,,
10,,,,5,15,,190.2,9.0,,,,,
11,,,,6,10,,181.0,7.4,,,,,
12,Kim (2004) [28],Adolescents,M,16.9,18,318.7,,10.4,740.8,,Recall/Record (3 d),2.0,RI
13,,,F,16.9,10,327.8,,8.9,672.3,,,,
14,Lim et al. (2000 [31],Adults,F,15-49,91,145.8,,6.0,266.3,,Record(1d),1.0+,MB
15,Ahn et al. (2002) [32],Adults,F,22.4,30,139.8,,7.5,324.8,12.4,Record (3 d),1.0+,RI
16,Eom et al.2005) [33],Adults,F,26-40,50,382.9,,5.6,,12.6,Recall,2.0,RI
17,Han et al. (2005) [34],Adults,M,22.8,44,406.0,,6.4,316.6,7.3,Recall (3 d),3.0+,MB
18,,,F,20.4,62,305.0,,7.5,340.5,6.9,,,
19,Kim & Lim (2008) [35],Adults,F,15-45,36,,206.9,10.5,249.9,12.7,Record (3 d),2.0,MB
20,Jang et al.2013[36],Adults,M,22.7,79,429.4,456.2,8.9,398.6,-,Recall (3 d),3.0+,MB
21,,,F,20.9,90,328.7,347.0,12.5,405.3,,,,
22,Hwang(2014)[37],Adults,F,20-39,106,355.7,409.6,12.6,622.4,8.5,Recall(1 d),4.0,MB
23,Lee(2016[38],Adults,M,19-59,256,352.2,363.1,9.3,,9.2,Recall (2 d),4.0,MB
24,,,F,19-59,256,315.7,322.0,12.3,,7.1,,,
25,Kim & Cho (2018) [39],Adults,M,19-64,68,587.4,649.2,10.3,,-,Recall (3 d),4.0+,MB
26,,,F,19-64,186,499.2,557.9,12.5,,,,,
27,Lee(2016)[38],Elderly,M,60-69,64,413.3,415.4,12.1,,9.0,Recall(2 d),4.0+,MB
28,,,F,60-69,64,388.2,392.6,18.6,,7.2,,,
29,Kim et al. (2011 [40],Elderly,M/F,75.1,118,,237.8,7.3,,12.5,Recall,3.0,RI
