,0,1,2,3,4,5,6,7,8,9,10,11,12
0,,CP,r,0.176,0.970,1,0.188,/,0.150,1,1,0.156,0.169
1,,,P,0.009**,0.000**,,0.005**,1,0.027*,1,1,0.022*,0.014*
2,,CM,r,0.219,,0.992,0.237,1,0.242,-,1,0.243,1
3,,,P,0.001**,,0.000**,0.000**,,0.000**,,,0.000**,
4,,TM,r,0.178,0.160,0.249,0.980,0.361,0.156,0.156,0.243,,0.285
5,,,,0.008**,0.018*,0.000**,0.000**,0.000**,0.021*,0.022*,0.000**,1,0.000*
6,,MM,r,,0.196,,0.290,0.923,,0.169,,0.285,1
7,,,P,,0.004**,-,0.000**,0.000**,,0.014*,,0.000**,1
8,Number of,,r,,,0.222,,,,,0.225,,
9,pregnancies,,P,,,0.001**,,,,,0.001**,,1
10,Number of,,r,,0.202,0.199,0.134,,,0.180,0.202,,
11,deliveries,,P,,0.003**,0.003**,0.048*,,,0.008**,0.003**,,
12,pre-gestation,pre-gestation,r,,-0.178,,,1,,-0.160,,1,
13,weight,,P,,0.020*,,,,1,0.037*,,1,
14,pre-delivery,,r,-0.179,-0.190,,-0.151,,-0.185,-0.155,,1,
15,weight,,P,0.020*,0.013*,,0.049*,,0.016*,0.045*,1,,
16,Pregnancy weight,Pregnancy weight,r,-0.140,,/,-0.138,-0.142,-0.133,1,1,-0.151,
