,0,1,2,3,4,5,6,7,8,9,10,11,12
0,,2010-2017a,2010,2011,2012,2013,2014,2015,2016,2017b,2018c,2019c,2020c
1,South Asia,5.9,7.7,6.1,3.3,4.3,6.2,5.8,8.0,6.1,5.6,5.4,5.9
2,Afghanistane,4.5,3.2,8.7,10.9,6.5,3.1,-1.8,3.6,2.5,2.5,2.8,2.5
3,Bangladeshe,6.4,5.6,6.5,6.5,6.0,6.1,6.6,7.1,7.3,7.3,7.4,7.2
4,Bhutan,6.6,11.7,7.9,5.1,2.1,5.7,6.6,8.0,6.0,6.0,6.4,6.1
5,Indiae,7.3,10.3,6.6,5.5,6.4,7.4,8.2,7.1,6.7,7.4,7.6,7.4
6,Iran Islamic Republicof)e,2.6,5.7,2.7,-7.5,-0.1,4.7,-1.1,13.4,4.3,-1.0,-2.4,0.1
7,Maldives,5.5,7.3,8.6,2.5,7.3,7.3,2.2,6.2,3.2,5.5,6.3,6.1
8,Nepale,4.3,4.8,3.4,4.8,4.1,6.0,3.3,0.4,7.5,6.3,5.4,5.1
9,Pakistane,4.1,1.6,2.7,3.5,4.4,4.7,4.7,5.5,5.7,5.4,4.1,3.6
10,Sri Lanka,5.8,8.0,8.4,9.1,3.4,5.0,5.0,4.5,3.3,3.9,4.1,4.8
11,East and South Asia -,,,,,,,,,,,,
12,net fuel exporters,4.4,5.7,5.0,1.6,2.9,4.7,3.3,6.6,5.3,3.2,2.4,3.5
13,East and South Asia -,,,,,,,,,,,,
14,net fuel importers,6.9,9.6,7.7,6.5,6.5,6.4,6.1,6.1,6.2,6.0,5.8,5.8
15,Western Asia,4.7,5.7,8.7,4.6,5.9,3.3,4.0,3.1,2.5,3.0,2.4,3.4
16,Western Asia -net fuel exporters,4.4,4.5,9.1,6.1,5.8,3.0,3.9,3.3,-0.1,2.6,2.5,3.9
17,Bahrain,3.7,4.3,2.0,3.7,5.4,4.4,2.9,3.5,3.8,3.1,2.1,3.1
18,Iraq,8.4,5.5,10.2,12.6,26.0,0.2,3.8,9.6,1.0,2.4,2.3,6.2
19,Kuwait,1.9,-2.4,9.6,6.6,1.1,0.5,0.6,2.9,-3.5,3.6,3.2,4.4
20,Oman,3.7,2.0,2.6,9.1,5.3,1.2,4.7,5.4,-0.3,2.9,2.1,3.5
21,Qatar,6.1,16.7,13.0,4.7,4.4,4.0,3.6,2.1,1.6,3.3,3.0,4.7
22,Saudi Arabia,3.9,5.0,10.0,5.4,2.7,3.7,4.1,1.7,-0.9,2.1,2.1,3.1
23,United Arab Emirates,3.9,1.6,6.9,4.5,5.1,4.4,5.1,3.0,0.8,2.8,3.1,3.4
24,Western Asia-net fuel exporters,5.1,7.2,8.2,2.6,5.9,3.8,4.1,2.9,6.0,3.4,2.2,2.9
25,Israel,3.8,5.5,5.2,2.2,4.2,3.5,2.5,4.0,3.4,3.5,3.2,3.7
26,Jordan,2.5,2.3,2.6,2.7,2.8,3.1,2.4,2.0,2.0,2.1,2.3,4.1
27,Lebanon,2.3,8.0,0.9,2.8,2.6,1.9,0.4,1.6,0.6,0.9,1.7,2.4
28,State of Palestine,5.0,8.1,12.4,6.3,2.2,-0.2,3.4,4.7,3.1,-0.8,1.3,1.8
29,Syrian Arab Republic,-9.2,3.4,4.6,-26.3,-26.3,-14.7,-6.1,-4.0,1.9,10.1,11.3,8.5
30,Turkey,6.8,8.5,11.1,4.8,8.5,5.2,6.1,3.2,7.4,3.5,1.7,2.5
31,Yemen,-10.2,3.3,-15.1,2.2,3.6,-10.6,-30.3,-14.8,-13.8,2.5,1.9,6.3
32,Latin America and the Caribbean,2.1,6.1,4.5,2.8,2.9,1.1,-0.1,-1.3,1.0,1.0,1.7,2.3
33,South America,1.7,6.6,4.8,2.5,3.3,0.4,-1.5,-2.9,0.5,0.4,1.4,2.3
34,Argentina,2.3,10.1,6.0,-1.0,2.4,-2.5,2.7,-1.8,2.9,-2.8,-1.8,1.2
35,Bolivia (Plurinational State of),5.0,4.1,5.2,5.1,6.8,5.5,4.9,4.3,4.2,4.3,4.4,4.0
36,Brazil,1.3,7.5,4.0,1.9,3.0,0.5,-3.5,-3.5,1.0,1.4,2.1,2.5
37,Chile,3.5,5.8,6.1,5.3,4.0,1.9,2.3,1.3,1.5,3.9,3.3,3.2
38,Colombia,3.8,4.0,6.6,4.0,4.9,4.4,3.0,2.0,1.8,2.7,3.3,3.1
39,Ecuador,3.3,3.5,7.9,5.6,4.9,4.0,0.1,-1.6,2.4,1.0,0.9,1.2
40,Paraguay,5.8,13.1,4.3,-1.2,14.0,4.7,3.1,4.3,5.2,4.5,4.7,4.3
41,Peru,4.8,8.3,6.3,6.1,5.9,2.4,3.3,4.0,2.5,3.9,3.8,3.6
42,Uruguay,3.6,7.8,5.2,3.5,4.6,3.2,0.4,1.7,2.7,1.9,1.5,2.4
43,Venezuela (Bolivarian Republic of),-4.1,-1.5,4.2,5.6,1.3,-3.9,-5.7,-16.5,-14.0,-15.0,-8.0,-2.0
