,0,1,2,3,4,5,6,7,8,9,10,11,12
0,Dietary,,,,,,90% Confidence Interval (%),90% Confidence Interval (%),90% Confidence Interval (%),,,,
1,Components,Mean,P5,P10,P10,,P25,P25,P50,,P75,P90,P95
2,Energy,"0.73,0.77*","-4.19,-2.50**","-2.60,-1.40**","-2.60,-1.40**","-1.44,-0.10**","-1.44,-0.10**","-1.44,-0.10**","(0.94, 0.64) *","0.14, 1.76**","0.14, 1.76**","0.21, 1.88)**","(0.40, 2.40) **"
3,Fat,"-1.00,-0.01*","(12.70, 9.96) ***","9.59,7.59)***","9.59,7.59)***","7.61, -6.01***","7.61, -6.01***","7.61, -6.01***","3.31,-2.05**","-0.53,0.86*","-0.53,0.86*","(2.58, 4.39) **","(1.95, 3.98) **"
4,Protein,-0.55.0.73*,"(3.87, 2.29) **","-2.39,-1.15**","-2.39,-1.15**","(2.01,0.98)**","(2.01,0.98)**","(2.01,0.98)**","-0.50,0.64*","-0.60,0.82*","-0.60,0.82*","(0.00, 2.05) **","-0.32,2.25**"
5,CHO,"0.77,1.13**","4.00, 2.53)**","3.26, 2.10)**","3.26, 2.10)**","1.43, 0.26**","1.43, 0.26**","1.43, 0.26**","0.58, 1.53)**","0.34,1.98)**","0.34,1.98)**","(0.23, 2.01) **","(0.70, 2.02) **"
6,Fiber,"-0.64,0.66*","-8.25,-6.99***","5.13,-4.13**","5.13,-4.13**","-4.32,3.26**","-4.32,3.26**","-4.32,3.26**","-1.99,-0.49**","-0.05,1.58**","-0.05,1.58**","(0.97, 2.71) **","(2.64, 4.56) **"
7,Cholesterol,"1.43, 0.49)**","68.21,54.79)","-44.4,36.58)","-44.4,36.58)","-10.10,-6.30***","-10.10,-6.30***","-10.10,-6.30***","2.24,0.07**","0.01,1.71**","0.01,1.71**","(1.81, 3.70) **","(3.62, 5.91) **"
8,Calcium,"(0.50, 0.22)","7.14,4.58**","(6.28, 4.16) **","(6.28, 4.16) **","(4.08,2.78)**","(4.08,2.78)**","(4.08,2.78)**","1.78,0.74**","-0.47,0.53)*","-0.47,0.53)*","(1.44, 3.21) **","(0.78, 3.22) **"
9,Iron,"(1.34, 1.6)**","4.14,-2.73)**","2.84, -1.30**","2.84, -1.30**",,"2.80, 1.10**","2.80, 1.10**","2.58,-0.26**","1.70, 1.61**","1.70, 1.61**","1.02, 3.28)**","(1.36, 6.83) **"
10,Zinc,"-0.65,1.00*","3.48,-1.56**",2.28,0.58**,(,"1.95,",0.29) **,"1.49,0.08**",(,"-0.31, 1.44) **","0.44, 1.61**","(0.18, 2.59) **"
11,Magnesium,"(0.66, 0.88)*","(4.64, 2.89) **","3.03,-1.70**","3.03,-1.70**","(-2.13,","(-2.13,",-0.87) **,"-1.35,0.16**","(0.63, 1.24) **","(0.63, 1.24) **","(0.59, 2.74) **","(0.71, 3.18) **"
12,Sodium,"-0.87,0.38*","(12.03, 7.48) ***","-10.02,7.13***","-10.02,7.13***","(7.78, 6.23)***","(7.78, 6.23)***","(7.78, 6.23)***","5.86,-4.55**","0.89,0.67)*","0.89,0.67)*","(2.41, 4.68) **","(3.43, 6.36) **"
13,Potassium,"(0.82, 0.84) *","3.88,2.35**","2.30,-1.16**","2.30,-1.16**",,"1.58,",0.23) **,"0.71,0.88*",(,"1.07, 0.60) **","(0.30, 1.94) **","(0.45, 3.38) **"
14,Phosphorus,"-0.56,0.80*","(3.61,2.27)**","-2.45,-1.23)**","-2.45,-1.23)**","-1.20,0.10**","-1.20,0.10**","-1.20,0.10**","(-0.44,0.79*","-0.13,1.33**","-0.13,1.33**","0.36, 1.78**","(0.26, 1.82) **"
15,Vitamin A,"(2.43, 1.95) **","17.22,-13.56","-13.69,-10.36","-13.69,-10.36","8.56, 5.42)***","8.56, 5.42)***","8.56, 5.42)***","5.65,-1.90**","4.07, 1.03)**","4.07, 1.03)**","0.72, 5.87)***","(1.05, 7.36) **"
