,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
0,,,100,,,,,,,,,,,,1110,,,,,,0900,,,0,,,,,,,1012,,,1IIS,,,
1,,,1118,,1002,,,,,10,,1002,,,,dN,012,064,90,0000,9880,,,,1102,88'0,,160,00.2,,,,1112,,,092,160
2,,PS,,1000,0003,1000,000.2,,,,,000.2,1000,000'0,9000,0020,,,,,1000,,0002,0,1000,,,,,1000,0-6,0000,CO00,000.2,,,
3,aiid,,,,,,,002,072,112,,,,,,,+00,,02,1000>,,,,,,110,,110,,,,,1114,,100,,110
4,,PS,000,+00'0,0000,1000,,,,,,1000,0100,010'0,800'0,6000,,,,,,0003,S00'0,,1000,,,,,1000,204,0000,0000,0,,,
5,,,,0002,,,,002,,,,,,,,,+00,,,1000>,,,,,,100,,,,,,,,,100,022,08
6,,PS,,100'0,1000,1000,1000,,,,,,1000,8000,100'0,000,,,,,,,,,,,,,,,,,,,,,
7,,,N,0900,,,,0,,+00,1000>,ON,,9900,9900,,022,-,110,1000>,CIN,2,UN,2,IN,,,,,,2,2,2,2,,,
8,,PS,,,1000,0,0002,,,,,,,,1000,1100,,,,,,+000,9000,00000,0000,,,,,,,000.0,9000,1000,,,
9,,,,0100,0100,0100,0100,100,,,+000'0,AN,0100,0100,0000,,002,180,100,,N,,,,,100,,000,,AN,,,,,100,60,100
10,,Ps,,,,0000,0000,,,,,,,1000,1000,,,,,,,,,,,,,,,,,,,,,,
11,,,CIN,ON,ON,1112,,100,,,1000>,AN,N,1182,1112,,ISI,80,,SO0,CN,,,,e,,,,,,,,,,..,..,
12,,PS,,S00'0,1104,+004,0112,,,,,,6000,,6000,,,,,,0000,,,,,,,,,,,,,,,,
13,,,N,,,,,+00,66'0,,1000>,,,,,,02,,810,,,CN,CIN,OIN,OIN,100,-,+00,1000>,CIN,CIN,2,2,2,,,
14,,PS,,0000,0000,0002,100'0,,,,,,1000,0100,1000,000,,,,,0000,,,,,,,,,,,9800,,,,,
15,,,N,,,,,100,,,1000>,AN,,,0122,090'0,11'5,078,600,000,,CIN,CN,,CN,,,10'0,,2,N,0900,N,2,,044,10'0
16,,,,,,%a,%0,(%SO0) ST,,,,,,,%5,%0,%SO0ST,,,,,,,%5a,%0,(%S00) AST,,,,,,,%5,,%O0ST,,
17,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,09,,,,,,,
