,0,1,2,3,4,5,6,7,8,9,10,11,12
0,,,,,,,Placebo group (n =95),Placebo group (n =95),,,,,
1,,EMM1,95%,95%,EMM1,95%,95%,EMM1,95%,95%,EMM1,95%,95%
2,,EMM1,CI-,CI+,EMM1,CI-,CI+,EMM1,CI,CI+,EMM1,CI,CI+
3,,,Baseline,,,4 weeks,,,8 weeks,,,12 weeks,
4,Body weight (kg),69.6,67.7,71.5,69.4,67.5,71.3,69.3,67.4,71.2,69.0,67.1,70.9
5,BMI (kg/m2),25.6,25.2,26.0,25.6,25.2,25.9,25.5,25.1,25.9,25.4,25.0,25.8
6,Abdominal circumference2 (cm),92.1,90.8,93.4,91.7,90.5,93.0,92.0,90.7,93.3,91.4,90.2,92.7
7,Waist circumference3 (cm),84.0,82.8,85.3,84.5,83.2,85.7,84.7,83.4,85.9,84.0,82.7,85.3
8,Body fat ratio (%),30.9,29.4,32.5,30.3,28.7,31.8,29.8,28.3,31.4,29.6,28.1,31.2
9,Fat mass (kg),21.3,20.2,22.3,20.8,19.7,21.8,20.4,19.4,21.5,20.2,19.2,21.3
10,Lean mass (kg),48.3,46.3,50.3,48.6,46.6,50.6,48.9,46.9,50.9,48.8,46.8,50.8
11,Muscle mass (kg),45.6,43.7,47.5,45.9,43.9,47.8,46.1,44.2,48.0,46.0,44.1,47.9
12,T-Cho (mg/dL),223.7,216.0,231.5,226.5,218.8,234.3,223.0,215.2,230.7,220.5,212.8,228.3
13,HDL-Cho (mg/dL),61.6,58.6,64.5,62.6,59.6,65.6,61.7,58.7,64.7,60.3,57.3,63.3
14,LDL-Cho (mg/dL),136.8,129.9,143.7,139.5,132.6,146.4,136.6,129.7,143.5,135.9,129.0,142.7
15,TG (mg/dL),127.0,112.5,141.6,128.6,114.1,143.2,125.6,111.1,140.2,123.5,109.0,138.1
16,,,,,,Intervention group (n = 94),Intervention group (n = 94),Intervention group (n = 94),,,,,
17,Body weight (kg),69.6,67.8,71.5,69.3,67.4,71.1,69.0,67.2,70.9,68.3,66.4,70.2
18,BMI (kg/m2),25.7,25.3,26.1,25.5,25.2,25.9,25.4,25.1,25.8,25.2,24.8,25.6
19,Abdominal circumference2 (cm),92.0,90.7,93.4,91.6,90.2,92.9,91.5,90.1,92.8,91.3,89.9,92.6
20,Waist circumference3 (cm),84.7,83.3,86.1,84.7,83.2,86.1,84.1,82.6,85.5,84.1,82.7,85.5
21,Body fat ratio (%),31.4,29.9,32.8,30.4,29.0,31.8,30.5,29.0,31.9,30.1,28.6,31.5
22,Fat mass (kg),21.6,20.6,22.7,20.9,19.8,21.9,20.8,19.8,21.8,20.7,19.6,21.7
23,Lean mass (kg),48.0,46.1,49.9,48.7,46.8,50.6,48.2,46.4,50.1,48.1,46.2,50.0
24,Mus cle mass (kg),45.2,43.4,47.0,45.6,43.8,47.4,45.4,43.6,47.2,44.8,43.0,46.6
25,T-Cho (mg/dL),228.3,221.2,235.4,226.3,219.2,233.4,224.7,217.6,231.8,220.8,213.7,227.9
26,HDL-Cho (mg/dL),63.8,60.1,67.5,63.9,60.2,67.6,62.9,59.2,66.6,62.4,58.7,66.1
27,LDL-Cho (mg/dL),140.3,133.7,146.9,135.9,129.3,142.5,135.6,129.0,142.2,134.2,127.6,140.8
28,TG (mg/dL),127.2,104.1,150.2,144.6,121.5,167.6,133.9,110.9,157.0,126.6,103.6,149.7
