,0,1,2,3,4,5,6,7,8,9,10,11,12
0,Reference,,Subjects,Age,No.,Folate Intake,Folate Intake,,Folate status,,Dietary,CAN-Pro,Folate
1,,,,(yrs),,Food,Total,Serum,RBC,HCY,assessment,DB version,assay
2,,,,,,ug/d),g DFE/d,(ng/mL),(ng/mL),(umol/L),method,,
3,Ahn et al.,Pregnancy,Supplement user,29.5,20,136.8,616.8,6.0,,,FFQ,1.0,RI
4,(2000) [42],,Supplement non-user,,9,128.9,128.9,6.9,,,,,
5,Lee&Lim,Pregnancy,Early,29.7,6,105.0,105.0,7.3,378.7,,Recall,1.0,MB
6,(2001[43],,Mid,,,132.0,"1,237.0",7.4,431.1,,,,
7,,,Late,,,125.0,"1,281.0",14.0,458.0,,,,
8,,Postpartum,1mon,,,128.0,128.0,11.6,367.0,,,,
9,,,2mon,,,132.0,132.0,11.7,360.1,,,,
10,,,3mon,,,139.0,139.0,8.5,305.6,,,,
11,Lee et al.,Pregnancy,Early,28.4,151,230.8,,5.5,266.6,,Recall(1 d),1.0,MB
12,(2004) [44],,,,,,,,,,,,
13,Lee et al.,Pregnancy,Early,29.9,27,293.0,,9.8,,,Recall,2.0,RI
14,2005[45],,Mid,,,281.2,,10.5,,,,,
15,,,Late,,,267.8,,10.7,,,,,
16,Kim et al.,Pregnancy,Mid,19-45,"1,105",354.4,886.3,9.6,,,Recall (1 d),3.0,RI
17,(2013)[46],,,,,,,,,,,,
18,Jeong&Lim,Lactation,1mon,34.3,6,466.0,913.0,7.7,331.2,6.7,Recall (1 d),2.0,MB
19,(2008[47],(supplement,2mon,,6,257.0,695.0,6.6,307.2,7.7,,,
20,,user),3 mon,,6,246.0,691.0,6.2,273.2,7.8,,,
21,,,6mon,,4,285.0,732.0,5.7,267.6,7.7,,,
22,,Lactation,1mon,,4,532.0,532.0,4.9,299.9,7.2,,,
23,,(supplement,2 mon,,4,304.0,304.0,4.7,267.2,7.8,,,
24,,non-user),3 mon,,4,238.0,238.0,4.9,257.7,8.0,,,
25,,,6mon,,6,298.0,298.0,4.5,242.7,7.7,,,
