,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,,,,,,,,yru,,,,,,,,,mni,,,,,
1,,(Npprpe),,,,,,,,,,,,,,,,,,,,
2,,,,,+,,,+,+,,+,+,+,,,,,,,,,
3,,,,24,,,,,,,,,34,,40,,,,:,,30,30
4,,,Meees,2,,Yees,,Meeess,,,,Yees,3m,,,,,,Teerr,,2,1m
5,,,,,,,HOIH,,,booae,,,,,,,,,+,,,
6,,sppppe,,,6,,,,7,,2,+,6,3,,,,,2,,,
7,,,,yu,2,24,,,,,,,,80<,,,90,,,,12,
8,,,,,,,,,,,,,,,,,,54,,,,
9,,,,,,,,,,,,,,,,dessee,,,,,,rrerr
10,A6e,,,,,,,,8,,8,,,,,,,47,,,,
11,Maaai,,,,F,,,,,,,F,,,,,,,,,F,F
12,,'ON,,,,,,,,,2,3,4,5,,,,,,,2,3
13,,,,,,,,,,,,,,,,,,,,1885,,
14,ON,,,,,,,,33,,,,,,,,,,,,,
