,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,,,,,,,,,,,+,,,,,+,,+,,,,
1,,,,%66,,,+,,+,,,+,+,,,+,+,+,+,,,
2,,,,,,,,,,,,,,,,,,,,,,
3,,45,8'711/8,,,,,,,,40,,30,,,,,2,30,5.0,35,
4,,,,,,,,,,,,,,,,,1,,,,,
5,,pt,,,,,,,,,,14d,,,,20X,,,,,,
6,,(HOIV,,,(rnn)+,,(HOID,HO)6W,,,,,epos p/b09,,,,,,,,,
7,,,,,64,,,,,,,+,:,,+,,,,1113,,+,12
8,,,,,80>,,,,,,,,,,44,,46,,ru,,,au
9,,,ru,,,,,,,,,,,,,,,,,,,u
10,,,,,,18,,,,,,,,,,,,,,,,
11,,,,,,,,,3,,,,,,,33,,4,,,,
12,W,,,,F,,,,,,F,,W,,,,,,,F,W,
13,477,,,,,,,,,,,2,,,2,,2,,,,,
14,,,,,,,,,,1717,,,,1715,,,,,,,,
15,,,22,,,,2,,2,,,,,,2,,2,,,,33,
