,0,1,2,3,4,5,6,7,8,9,10,11,12
0,,,,Group A,Group A,,,,,Group B,,,
1,Characteristics,Croatia,Greece,Israel,Italy,Macedonia,Serbia,Croatia,Greece,Israel,Italy,Macedonia,Serbia
2,"(kcal/day), mean  sd",1502.3  377.5,1461.5  466.5,1105.8  266.6,1505.3 358.7,1842.5  526.9,1469.2  503,1471.6  480.8,1818.5  493,1114.3  319.6,1506.3  427.5,1629.7  480.5,1511.5  395.1
3,,,,,,Macronutrients mean sd,Macronutrients mean sd,,,,,,
4,Total protein (g/day),63.3  15.8,58.7  18.6,51  17.2,60.2  14.7,72.5  24.9,59.3  22,62.7  20.5,74.2  23,54.4  19,60.9  17,64.5  22.3,67.3  74.8
5,Lipids(g/day),53.4  17.4,58.2  21.1,34  11,62.7  20.3,74.2  22.8,56.8  20.4,54.6  24,70.4  27.4,40.7  16.6,59.3  20.9,60.9  23.2,63.8  21.1
6,Carbohydrates (g/day),184.6  49.3,185.9  70.2,144.5  44,185  49.5,234.1  83.4,190.3  80.9,179.5  65.5,239.4  76.5,132.5  48.6,193.2  63.5,219  80.9,183.1  62.9
7,Starch (g/day),82.9  27.8,80.4  47,62  39.3,109  9.63,127.2  60.3,98.5  58.9,85.3  33.5,130.2  57,38.2  33,116  46.3,135.2  58.9,98.8  45.3
8,Cholesterol (mg/day),201.3  90.4,199.1  103.7,260.5  129,194  93.4,220.1  112.5,213.7  109.7,202.6  114.1,236.1  140.9,280.5  192.6,198.7  92.8,188.9  130.1,268.9  123.1
9,(g/day),18.6  8,19.7  8,12.1  4.8,17.4  6.6,23  8.6,19.1  7.4,18.7  9.5,25.3  12.5,12.4  5.3,16.7  6.3,19.9  9.4,22.2  7.8
10,acids(g/day),5.8  3.6,6.1  3.2,6.4  3,6.4  2.6,10.9  5.8,6.5  3.7,6.4  5.1,7.9  3.6,8.3  4,6.3  2.4,9.1  4.8,7.7  2.7
11,Fiber (g/die),14  6.2,12.2  7.9,14.1  6.2,12.4  4.2,21.7  20.9,13.5  9.5,13.3  6.6,18.2  8.7,13  8.1,12.5  4.7,20.3  20.3,15.2  52.9
12,,,,,,Micronutrients meansd,Micronutrients meansd,,,,,,
13,Calcium (mg/day),629.3  224.6,608.5  326.2,464.1  239.2,456.9  167.8,624.4  265.5,523.1  250.5,575.2  253.7,720.9  345.4,361.5  181.5,438.7  176.6,483.1  258.7,431.9  199.6
14,Sodium (mg/day),2988  562,1366.3  729.7,2423.1  474.8,1299.6  731.6,1353.7  651.8,1206.4  586.6,2995.5  433.7,1725  946.5,7853.4  451.3,1383.2  743,1380.8  847.4,1924.9  1068.7
15,Potassium (mg/day),2063.5  857.5,1833.2  652.4,4652.5  129.2,1824.8  491.6,2372.1  1042.8,1922.1  889.9,1917.9  1258.7,2571.6  1336.4,4325.7  233.6,1800.7  568,2219.9  881.6,1795  541.9
16,Phosphorus (mg/day),948.7  271,883.4  331.6,731.5  214,888.9  239.1,1132.2  434.6,926.7  428.4,898.6  316.2,1123.4  385.2,723.7  231.7,887.7  269,999.5  406.1,911.7  250.8
17,Iron(mg/day),8.2  4.5,8  4.3,7.6  3.6,8.4  2.4,12.8  6.4,9.4  6.1,8  5,11.2  4.9,7.2  3.1,8.6  2.8,12.2  6.3,8.7  3
18,Zinc (mg/day),8  2.8,7.8  3.1,5.3  2.1,7.9  2.3,9  3.5,7.6  3.1,7.6  3,9.1  3.2,5.6  2.5,7.9  2.7,8.4  3.4,8  2.6
19,Folic acid (mcg/day),129.8  52.6,173.4  122.1,198.9  96.1,165.8  69.9,238.7  171.3,170.5  128,121.4  51.7,273.6  186.2,195.3  101,162.1  74,223.8  170.7,153.9  78.7
20,Niacin (mg/day),17.2  7.9,10.5  4.4,15.5  5.4,12.5  3.9,15.7  8.2,12.2  8.3,17  7.1,14.8  9,16.5  10.2,12.7  4.8,15  7.7,12.5  4.6
21,Riboflavin (mg/day),1.2  0.4,1.3  0.7,1.3  0.8,1.3  0.9,1.5  0.7,1.2  0.6,1.1  0.4,1.5  0.6,1.4  1,1.3  0.8,1.3  0.7,1.1  0.4
22,Thiamine (mg/day),1.7  1.4,1  0.5,0.8  0.4,0.9  0.3,1.4  0.7,1  0.7,1.8  1.7,1.2  0.5,0.7  0.3,0.9  0.3,1.3  0.6,1.1  0.7
23,Vitamin A (mcg/day),18071  300,540.8  255.7,419.8  242.6,603.8  318.9,574  369.2,484.6  235.8,13706.6  285.7,678.7  420.2,305.7  177,534.6  327.1,449.5  274,766.4  215.2
24,Vitamin B6 (mg/day),1.3  0.7,1.4  0.8,1  0.4,1.4  0.5,1.8  0.9,1.3  0.8,1.2  0.5,1.7  0.7,1.2  0.7,1.4  0.5,1.5  0.8,1.2  0.4
25,Vitamin C (mg/day),248.3  230,97  65.7,41.8  38,75.2  49.6,98.5  72.4,91.6  63.4,69.8  45.4,94.3  79.3,38.1  35.7,74.4  52.4,79.2  66.2,65.1  45.7
26,Vitamin D (mcg/day),1.2  1.8,3.4  2,2.5  2.3,2.3  1.7,2.6  1.7,2.7  1.6,1.4  2.5,3.3  2.2,2.5  2.4,2.4  1.9,2.1  1.7,2.5  1.6
27,Vitamin E (mg/day),5.4  2.6,6.4  3,5.8  5.8,8.7  3.8,8.7  3.5,5.7  3.4,5.5  3.1,7.4  3.2,5.5  2.9,7.6  4,7.2  3.7,5.5  2.5
