,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,,,%11=,,,,,,,,,,,,,,,,,,,
1,,,,900=d,,,,,,,,,,,,,,,,,,
2,,14/9,,,,,,,,,,,,,,11/47,,,,,,
3,,,H'N,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,71177,,,,,,
5,,,%8=,,1110,prrern,,,,,,,,,,,,,,,,
6,,11146,11146,,211000,,Yeees,,211110,,"""(saeeK g-0)",111010,peroen,,,,,,,,,
7,peaaeeo,,,,,,veres,,,,,,,,,Terrs,,L00000'0>d,,,,
8,,,,,,,,'S'N,,,,,,,,,,L00000'0>d,,,,
9,,1100110,,,,,vees,,,Yeees,,,,,30000000,,,L00000'0>d,,,,
10,,,,,,,,,,,,,,,6r,,,,,2,3,3
11,(P/by/6wKep/6w),24,,,990,,,,05.2,,,,,,,,,,,,,
12,I,,,,,,,,,,,,,,,,,,,,,
13,,,,,NeE,,,,Nar,,,,,NeE,,,NaE,,,,,
14,,,,,4,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,
16,,48,,,,1110111),,,,,,,,165,101/28),,01/82),,,,,
17,,,,,,,,,,,,,,,,,,,'S'N,,,
