,0,1,2,3,4,5,6,7,8,9,10,11,12
0,,Mothers,Sons (living with,pa,,Mothers,Sons (living independent,pa,,Grand-,Grand-,pa,rb
1,,,,,,,,,,,,,
2,,,their parents),,,,of their parents),,,mothers,sons,,
3,n (paired),,746,,,,353,,,164,,,
4,Total energy,2372,28791190,<0.01,0.11f,2213,27281074,<0.01,-0.01g,2287938,2996,<0.01,-0.03 h
5,(Kcal/day),1076,,,,881,,,,,1104,,
6,Carbohydrate,58.3,58.36.52,0.90,0.18,59.6,59.46.14,0.70,-0.02 g,59.47.0,57.86.4,0.05,0.07
7,,6.84,,,,6.50,,,,,,,
8,Starch c,30.9,33.59.03,<0.001,0.09,31.39.4,34.09.4,<0.001,0.06,31.99.27,33.0,0.26,0.24 h
9,,9.31,,,,,,,,,8.64,,
10,Non-starch,17.3,16.27.0,0.002,0.23f,17.9,15.86.99,<0.001,0.10g,17.87.7,16.16.1,0.03,0.26
11,,8.10,,,,7.56,,,,,,,
12,Protein,14.8,14.62.51,0.24,0.14f,15.4,14.92.38,0.02,0.02g,15.13.6,14.8,0.25,0.18
13,,2.63,,,,3.19,,,,,2.62,,
14,Animal protein,8.27,8.434.09,0.41,0.22 f,8.22,8.873.98,0.03,-0.03 g,7.753.88,8.87,0.009,0.25
15,,4.45,,,,3.69,,,,,4.24,,
16,Vegetable protein,5.63,5.681.68,0.63,0.15,5.76,5.811.75,0.67,0.07,5.901.90,5.54,0.08,0.08
17,,1.81,,,,1.82,,,,,1.57,,
18,Total fat c,30.4,30.05.87,0.19,0.15f,29.1,28.55.86,0.19,0.02g,29.26.40,30.15.9,0.23,0.06
19,,6.66,,,,5.96,,,,,,,
20,SFA,9.53,10.12.83,<0.001,0.12f,9.17,10.825.0,0.23,0.02 8,8.942.51,10.0,<0.001,0.17
21,,2.70,,,,3.07,,,,,2.71,,
22,Trans-fatty acids,2.17,2.431.30,<0.001,0.22 f,1.94,2.281.35,0.002,0.04 g,2.031.36,2.34,0.03,-0.03 h
23,,1.60,,,,1.44,,,,,1.17,,
24,MUFA,10.2,9.802.32,0.006,0.11,9.57,9.612.14,0.79,0.07,9.602.29,9.72,0.61,0.11
25,,3.01,,,,2.24,,,,,1.97,,
26,PUFAC,6.24,5.851.97,<0.001,0.12 f,5.91,5.761.79,0.27,0.08,5.991.87,5.79,0.26,0.01
27,,2.08,,,,1.84,,,,,1.55,,
28,Fiber d,10.8,8.752.76,<0.001,0.18f,11.3,8.982.73,<0.001,0.05g,11.13.57,8.78,<0.001,0.35f h
29,,3.46,,,,3.59,,,,,2.79,,
30,Cholesterol(mg/,206116,299193,<0.001,0.08,191130,269151,<0.001,-0.003,188144,330232,<0.001,-0.08 h
31,day),,,,,,,,,,,,
32,Vitamin C e,75.9,58.633.3,<0.001,0.17f,79.5,61.933.9,<0.001,0.08,77.140.8,60.3,<0.001,0.17
33,,41.3,,,,38.4,,,,,33.8,,
34,Calcium e,601215,548176,<0.001,0.07,649220,559193,<0.001,0.11,641225,554+191,<0.001,0.24 h
35,Iron e,16.6,13.78.29,<0.001,0.10,18.8,15.510.3,<0.001,0.03g,18.112.0,14.0,<0.001,0.19
36,,11.7,,,,12.3,,,,,8.62,,
37,Zince,5.64,5.502.50,0.14,0.07,5.78,7.353.03,0.37,0.06,5.640.99,5.34,0.003,0.26 h
38,,1.42,,,,1.04,,,,,0.82,,
39,Sodium (mg/day),1599,1433366,<0.001,0.09,1667,1465440,<0.001,0.12,1651545,1442,<0.001,0.15
40,,425,,,,540,,,,,337,,
41,Magnesium e,20543.9,18734.7,<0.001,0.16f,21640.4,19749.2,<0.001,0.18f,21344.0,18533.4,<0.001,0.14
