,0,1,2,3,4,5,6,7,8,9,10,11,12
0,,Time of Storage (Days),,,,,,Treatment,Treatment,,Coscia,,Abate
1,,,,,0,,,,,,,,
2,,,,,3,,,,CTR,,0.970.15 a,,0.60.19a
3,,,,,,,,,XAN,,0.730.12b,,0.100.04 b
4,,,,,,,,,HPMC,,0.330.15c,,0.80.34a
5,,,,,,,,,ASC,,0.350.28 c,,0.20.29 b
6,,,,,5,,,,CTR,,1.33.0.15a,,0.80.14 a
7,,,,,,,,,XAN,,0.750.2b,,0.290.08 b
8,,,,,,,,,HPMC,,0.900.11 b,,1.01 0.24 a
9,,,,,,,,,ASC,,0.690.12 b,,0.40.19b
10,,,,,7,,,,CTR,,1.850.15 a,,1.30.17 a
11,,,,,,,,,XAN,,1.00.2b,,0.580.03 ab
12,,,,,,,,,HPMC,,0.900.15 b,,1.120.19 ab
13,,,,,,,,,ASC,,0.810.15b,,0.60.39b
14,,12,,,12,,,,CTR,,3.80 0.19 a,,2.30.51 a
15,,,,,,,,,XAN,,2.00.12 b,,1.280.02 b
16,,,,,,,,,HPMC,,1.90.12b,,1.420.15b
17,,,,,,,,,ASC,,1.810.19 b,,1.60.21b
18,,,5,,,,,,,,,,
19,,,4,,,,,,,,,,
20,(zWG 3x) SSHNWIIH,,,,,,a],,,,,,
21,(zWG 3x) SSHNWIIH,,3,,,,,,1,,,,
22,,,,,,,a,,a,a,,,
23,(zWG 3x) SSHNWIIH,,2,,,,,,b,b,,,
24,,,,,,,,,,C,,,1
25,(zWG 3x) SSHNWIIH,,,,,,,,,C,,,a
26,,,,,,,,,,C,,,b
27,,,1,,,-,,,,,,,
28,,.........HPMC,,,.........HPMC,.........HPMC,,,,,,,C
29,,ASC,,,,,,,,,,,C
30,,,0,,,,,1,,,,,J
31,,,,,,,,,,,,1,
32,,,,0,1,1,3,,5,7,,,12
33,,,,,,,,,TIME OF STORAGE (days),,TIME OF STORAGE (days),,
