,0,1,2,3,4,5,6,7,8,9,10,11,12
0,,2010-2017a,2010,2011,2012,2013,2014,2015,2016,2017,2018b,2019c,2020
1,Economies in transition,2.0,4.5,4.7,3.5,2.4,0.9,-2.2,0.4,2.0,2.1,2.0,2.6
2,South-Eastern Europe,1.8,1.5,1.7,-0.6,2.4,0.1,2.1,3.1,1.9,3.9,3.7,3.7
3,Albania,2.7,3.7,2.5,1.4,1.0,1.8,2.2,3.4,3.8,4.2,4.0,3.8
4,Bosnia and Herzegovina,1.7,0.9,1.0,-0.8,2.4,1.1,3.8,3.3,1.3,2.7,3.0,3.0
5,Montenegro,2.7,2.7,3.3,-2.7,3.5,1.8,3.4,3.8,4.3,4.8,3.7,4.2
6,Serbia,1.3,0.6,1.4,-1.0,2.6,-1.8,0.8,2.8,1.9,4.5,4.0,4.0
7,The former Yugoslav Republic,,,,,,,,,,,,
8,of Macedonia,2.3,3.4,2.3,-0.5,2.9,3.6,3.8,2.9,0.0,2.5,3.0,3.0
9,Commonwealth of Independent,,,,,,,,,,,,
10,States and Georgiad,2.0,4.6,4.8,3.7,2.4,1.0,-2.3,0.3,2.0,2.1,2.0,2.5
11,Commonwealth of Independent,,,,,,,,,,,,
12,States and Georgia,,,,,,,,,,,,
13,net fuelexporters,2.0,4.8,4.6,3.8,2.4,1.2,-2.2,0.0,1.8,1.8,1.7,2.3
14,Azerbaijan,1.6,5.0,0.1,2.2,5.8,2.8,1.0,-3.1,0.1,1.1,1.9,1.9
15,Kazakhstan,4.6,7.3,8.9,4.8,6.0,4.2,1.2,1.1,4.0,4.0,4.0,4.0
16,Russian Federation,1.7,4.5,4.3,3.7,1.8,0.7,-2.8,-0.1,1.5,1.5,1.4,2.1
17,Turkmenistan,8.9,9.2,14.7,11.1,10.2,10.3,6.5,6.2,6.5,6.0,5.0,5.0
18,Commonwealth of Independent,,,,,,,,,,,,
19,States and Georgia,,,,,,,,,,,,
20,net fuel importers,2.1,3.3,5.9,2.3,2.2,-1.0,-3.5,2.3,3.6,4.0,3.8,4.0
21,Armenia,4.2,2.2,4.7,7.2,3.3,3.6,3.2,0.2,7.5,6.0,4.0,3.7
22,Belarus,1.9,7.7,5.5,1.7,1.0,1.7,-3.8,-2.5,2.4,3.6,3.0,3.0
23,Georgiad,4.8,6.2,7.2,6.4,3.4,4.6,2.9,2.8,5.0,5.0,4.5,4.3
24,Kyrgyzstan,3.9,-0.5,6.0,-0.1,10.9,4.0,3.9,4.3,4.6,2.1,3.0,3.0
25,Republic of Moldova,4.4,7.1,6.8,-0.7,9.4,4.8,-0.4,4.5,4.0,4.3,4.5,4.5
26,Tajikistan,6.3,6.5,2.4,7.5,7.4,6.7,6.0,6.6,6.6,7.0,6.0,5.5
27,Ukrainee,-0.4,0.3,5.5,0.2,0.0,-6.6,-9.8,2.4,2.5,3.2,2.9,3.4
28,Uzbekistanf,7.2,8.5,8.3,8.2,8.0,8.0,7.9,6.0,5.3,5.2,5.7,5.8
