,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,RRR,,MOT,,LOT,,,,,LOT,,,,,LOT,,LOT,,,,LOT,,,,LOT
1,Pror,berre,,,,,,,,,,,,,NA,,,,1000,,,,,,
2,,,,100,,100,100,NA,NA,,,,,100,,100,100,,100,,100,NA,NA,NA,
3,,,,,,,,,,,VA,,,,,,,,,,,,,,NA
4,,,,,,Xep/3w 008'7-009'T,,,,,,4+z/8w008'7>,Y+7/B9 009'E-0087,JYtZ/8w OO8`t>-OO9`E,,,,,,,,,,,
5,,,,,,,,,,,,,,,,thhe,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,Prerrerre,(VN),,,,,
7,,,,,,,,,,,,,,%969,,,,,,,,,,,
8,,,,,,,,,,,,,,,Chohh,,,,,,,,,,
9,,,,,,,,,,,,,1[1+],,,,,ueder[81](tT03),,,,,,,
