,0,1,2,3,4,5,6,7,8,9,10,11,12
0,,,,,,-TOH,,,,,RRR-a-TOH,,
1,,,,MP,CP,CM,TM,MM,MP,CP,CM,TM,MM
2,a-TOH,MP,r,/,0.197,0.221,0.176,1,0.975,0.176,0.219,0.178,1
3,,,P,/,0.003**,0.001**,0.009**,/,0.000**,0.009**,0.001**,0.008**,/
4,,CP,r,0.197,1,,0.203,0.142,0.161,0.970,/,0.160,0.196
5,,,P,0.003**,,,0.002**,0.035*,0.017*,0.000**,/,0.018*,0.004**
6,,CM,r,0.221,/,/,0.250,0.140,0.234,,0.992,0.249,/
7,,,P,0.001**,/,/,0.000**,0.037*,0.000**,/,0.000**,0.000**,/
8,,TM,r,0.176,0.203,0.250,/,0.374,0.141,0.188,0.237,0.980,0.290
9,,,P,0.009**,0.002**,0.000**,/,0.000**,0.036*,0.005**,0.000**,0.000**,0.000**
10,,MM,r,/,0.142,0.140,0.374,/,/,/,/,0.361,0.923
11,,,P,/,0.035*,0.037**,0.000**,/,/,/,/,0.000**,0.000**
12,RRR-a-TOH,MP,r,0.975,0.161,0.234,0.141,1,/,0.150,0.242,0.156,/
13,,,P,0.000**,0.017*,0.000**,0.036*,/,/,0.027*,0.000**,0.021*,/
