,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
0,,S00>,S00>,,s00>,$00>,So'0>,SO0>,su,su,S00>,S00>,S00>,S0'0>,S00>,S00>,su,So0>,$00>,S00>,su,,S00>,s00>,$o0>,su,SO0>,S00>,S00>,so0>,So'0>,SO'0>,so0>,So0>,So0>,su,SO'0>,S00>,
1,,,,,,,,,,,,,,,,,,,bo,,,,,,bo,,,,,,,nbe,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,0110,,988'97,6908,,,,,,,,798'89,211,,,1000,,26I'0,1900,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,096'74,,,,,,,8000,,821'0,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,878'9,1210,110'0,,621'0,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,0,,,,,d,,,,U,,,,,,:,,0,,,,,,,
9,,,6660,,,,,,,,21110,,,,,,181'0,1117,1110,,0000,,,,,,,,,,,,,,,,,,
10,,,,,U,,,,,2,,,,U,,,a,,,,,,:,,,,,,,,,c,bo,+,,,,bo,
11,,,,2004,,,,,1116,,,,,11113,,,,,,621'0,,,891'0,,,,,,,,,,,,,,,,7175
12,,,,:,,,,,,,,,,,,,,,U,,,,,U,,,,,,,,,,,,,,,
13,,,0112,,0111,,,,60611,,30005,,,21078,8000,,1112,,,,,,061'0,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,60,,,,,,,,,,,,,,a,,,,,,,,,,,
15,,,1111,989'9,,,,,,111119,,,,,,960'7,0112,1171,1279,,8100,,,0900,,,,,,10805,,,,,,,188'18,,
16,,,,,2:01,1:000007,,,,1441,1:081,,,,,1:001,,,,yu,2007,,9008,9008,,0008,,,1000007,so000908,00000,00059,000000,,600S,1001,00011,,o0000
17,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,
18,punoduc,,,,,,,,,,,10,,,2,3,,,,,,,,,,,,,2,,,,2,,,2,,,
