,0,1,2,3,4,5,6,7,8,9,10,11,12
0,Table 3. Amino acid score of protein sources,,,,,,Table 4. Average molecular weight on particle size distribution,Table 4. Average molecular weight on particle size distribution,,,Table 4. Average molecular weight on particle size distribution,,
1,,LWCp',ISP,WPI,Casein,,Samplel),Mn2,Mw3),Mp4,Mw/Mn3,Mw/Mn3,Mw/Mn3
2,Threonine,2.04,1.57,2.64,1.46,,LWCP,396,675,348,,1.704,
3,Valine,1.32,1.24,1.29,1.29,,ISP,995,"2,448","1,076","1,076",2.460,
4,Isoleucine,1.57,1.53,1.73,1.28,,WPI,"6,666","9,626","11,007","11,007",1.444,
5,Leucine,1.37,1.30,1.48,1.42,,,"1LWCP, low-molecular water-soluble chicken breast powder;",,,"1LWCP, low-molecular water-soluble chicken breast powder;",,
6,Phenylalnine+Tyrosine,1.62,2.24,1.28,2.48,,"ISP, isolated soy protein; WPI, whey protein isolate.","ISP, isolated soy protein; WPI, whey protein isolate.",,,"ISP, isolated soy protein; WPI, whey protein isolate.",,
7,Lysine,1.67,1.46,1.60,1.55,,2Mn: number average molecular weight.,2Mn: number average molecular weight.,,,,,
8,Histidine,2.07,1.64,1.03,1.83,,3Mw: weight average molecular weight.,3Mw: weight average molecular weight.,,,,,
9,Methionine+Cysteine,1.67,1.14,1.78,1.01,,4Mp: high peak molecular weight.,4Mp: high peak molecular weight.,,,,,
10,Tryptophan,1.33,2.03,2.19,1.80,,5Mw/Mn: polydispersity index.,5Mw/Mn: polydispersity index.,,,,,
11,"LWCP, low-molecular water-soluble chicken breast powder;",,,,,,,,,,,,
12,"ISP, isolated soy protein; WPI, whey protein isolate.",,,,,,LWCP,LWCP,,,LWCP,,
13,branched-chainami,,,,,,,,,,,,
14,noacidsBCAA,,,,,,,,,,,,
15,Kalman2014Byun2006,,,,,,877,877,,,877,,
16,Table 2ISP BCAA7.69%4.59%4.84%,,,,,,,,,,,,
17,LWCPBCAAWPI,,,,,,Yo1999,Yo1999,,,Yo1999,,
18,4.7%,,,,,,77754,77754,,,77754,,
19,8.05%5.18%8.7%,,,,,,Gortler51995,Gortler51995,,,Gortler51995,,
20,WPI4,,,,,,LWCP,LWCP,,,LWCP,,
21,874,,,,,,Invitro,Invitro,,,,,
22,,,,,,,invitro,invitro,,,invitro,,
23,,,,,,,KOHTable58,KOHTable58,,,KOHTable58,,
24,7348,,,,,,,,,,,,
25,Astruc2014,,,,,,,,,,,,
26,Doucet2001,,,,,,Y0oKim2007,Y0oKim2007,,,Y0oKim2007,,
27,4foodproalka,,,,,,KOH,KOH,,,KOH,,
28,"line protease,prozyme 2000P,bromelainpapain",,,,,,Frikha20120.2%KOH,Frikha20120.2%KOH,,,Frikha20120.2%KOH,,
29,gel permeation chromatography,,,,,,8,8,,,8,,
30,GPCMw,,,,,,KOHISPLWCP,KOHISPLWCP,,,KOHISPLWCP,,
31,MnLWCPISPWPI,,,,,,99%WPI,99%WPI,,,99%WPI,,
32,"4Mw675,24489626Mn396,995",,,,,,98%97%.,98%97%.,98%97%.,,,,
33,"6,666polydispersityindexPDI",,,,,,,,,,,,
34,1.72.41.4Table4.Koopman5,,,,,,858,858,,,858,,
35,2009,,,,,,,,,,,,
36,intact7o,,,,,,.ISPWPILWCP98%,.ISPWPILWCP98%,,,.ISPWPILWCP98%,,
37,78,,,,,,95%,95%,,,95%,,
38,Khiari2014,,,,,,Table5Han2015ISPWPI,Table5Han2015ISPWPI,,,Table5Han2015ISPWPI,,
39,"2,000Da",,,,,,93.7%988%,93.7%988%,,,93.7%988%,,
40,Table 5. Pepsin digestibility and KOH solubility of protein sources,,,,,,,,,,,,(%)
41,,,LWCp1),,,ISP,,WPI,,,Casein,,
42,Pepsin digestibility,,98.81.2a2),,,98.60.9a,,98.91.7a,,,95.11.2b,95.11.2b,
43,KOH solubility,,99.21.5,,,99.11.2,,98.81.6,,,97.41.6,,
44,LWCP,,,,,,,WPI:,,,,,
