,0,1,2,3,4,5,6,7,8,9,10,11,12
0,,Denmark 201I,Denmark 201I,Finland 2017,Finland 2017,,Iceland 2010,Iceland 2010,Iceland 2010,Norway 2010,Norway 2010,Sweden 2010,Sweden 2010
1,,18-75y),18-75y),,18-74y2,,,18-80 y),18-80 y),18-70y,18-70y,18-80y4,18-80y4
2,,Men,Women,Men,Women,Women,Men,,Women,Men,Women,Men,Women
3,,n=1464(n=1552,n=1464(n=1552,(n=780),(n=875,(n=875,n =632,,n=680),(n=862,n=925,(n =792),n=1005
4,Beverages,2242 (886),2129 (768),1750,1774,1774,,,,,,,
5,"Soft drinks,",258 (755),181 (566),117,62(52-722274358),62(52-722274358),62(52-722274358),,20537,282 (396,202 (329),132 (234,95157)
6,cordials etc,,,(89145)5,(89145)5,,,,,,,,
7,,,,38 (28-48) 24 (17-30)22,38 (28-48) 24 (17-30)22,38 (28-48) 24 (17-30)22,,,,,,,
8,Juice,59 (101),54 (83),51,,43,89 (159),,90(141),114(178),100(149),84(100),52 (88)
9,Coffee,706 (553),550 (467),493,,382,404 (432),,272 (279),591(508),454 (452),370 (290),311(256)
10,,,,(466-521),(357-406),(357-406),,,,,,,
11,Tea,91 (220),184 (335),81 (68-94),81 (68-94),145,40 (114),,72 (151),108 (251),238 (355),88 (161),145 (218)
12,,,,,(122-167),(122-167),,,,,,,
13,Cereals,249 (90),189 (65),149,,,,,,272,179,219 (117),165 (92)
14,,,,142-157),107-115),107-115),,,,,,,
15,Bread,157 (75),121 (53),107,,74,105 (70),,85(51),227 (121),144 (80),102 (55),75 (41)
16,Other grains,,,,,,,,,45 (62),35 (41),,
17,Breakfast cereals,22 (30),13(19),5,,4,16(26),,12(18),,,14 (22),10(16)
18,Porridge,11(43),14 (42),92,,,32 (81),,26 (58),,,42 (85),34 (63)
19,Potatoes,118 (99),66 (53),85,,62,,72,,83 (80),50 (57),133 (115),73 (66)
20,Vegetables,191 (122),206 (115),177,,191,122 (104),,117 (96),154 (106),155 (105,169 (104),182 (98)
21,,,,(168-186),181-201),181-201),,,,,,,
22,Pulses (legumes),1 (5),1 (6),12 (915),14 (11-17),14 (11-17),,,,,,12(25),12 (22)
23,"Fruits, and berries",166 (149),212 (143),135,,189,101(118),,136 (120),168(155),189 (143),105 (112,147 (108)
24,,,,(123-146),(175-203),(175-203),,,,,,,
25,Nuts and seeds,3(10,5(11),7(68,9 (710,9 (710,,,,,,4 (13),5 (12)
26,Fish and,40 (49),34(31),36(30-42) 27(25-30),36(30-42) 27(25-30),36(30-42) 27(25-30),55 (72),,38 (48),79 (101),56 (71),43 (47),37 (36)
27,seafood,,,,,,,,,,,,
28,Meat and meat,172 (88),99 (53),,,,167 (122),,96 (66),181 (126),116 (78),,
29,products,,,,,,,,,,,,
30,Read meat,172 (88),99 (53),138,71 (6775),71 (6775),33 (54),,23 (39),149,92,112 (66),68(41)
31,,,,(130-147),(130-147),,,,,,,,
32,Poultry,29 (37),24 (27),43(37-49 36(31-41),43(37-49 36(31-41),43(37-49 36(31-41),,,,32,24,23 (32),20 (25)
33,Milk and dairy,337 (274),273 (197),480,,394,353 (266),,251(182),384 (354),249 (237),267 (231),227 (171)
34,products,,,(449512),373-415),373-415),,,,,,,
35,Cheese,47 (35),41 (31),,,,,,,46 (44),42 (38),25(28),25 (28)
36,Eggs,26 (22),23 (17),2422-272421-27,2422-272421-27,2422-272421-27,14 (27),,10(18),28 (42),23 (33),14 (23),14 (20)
37,Fats and oils,47 (25),35 (19),5350-55 3837-40,5350-55 3837-40,5350-55 3837-40,,,,39 (28),24 (19),,
38,Spreads,18 (19),1113,18,,13,14(16),,10(12),,,13(13),10(9)
39,Margarine,,,14,,"8,5",4 (5),,3 (4),,,,
40,Vegetable oil,,,10,,"8,6",2(4),,2 (6),,,,
41,Sweets and sweet,,,,,,,,,,,,
42,bakery products,,,,,,,,,,,,
43,Cakes and biscuits,48 (51),42 (41),32(30-34)33(30-35,32(30-34)33(30-35,32(30-34)33(30-35,52(70),,43 (54),36(61),34 (48),33 (49),39 (33)
44,Sweets,38 (35),35 (28),,,,17(30,,17 (25,,,10(19),13 (22)
