,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,,,,,Children aged 1.5-2 years (n 330),Children aged 1.5-2 years (n 330),Children aged 1.5-2 years (n 330),,,,Children aged 34 years (n 176),Children aged 34 years (n 176),Children aged 34 years (n 176),Children aged 34 years (n 176),,,,Children aged 56 years (n 172),Children aged 56 years (n 172),Children aged 56 years (n 172),Children aged 56 years (n 172),
1,,,Short,Medium,Medium,,Long,,,Short,Medium,Medium,,Long,,,Short,,Medium,,Long,
2,,,(<8 h/d),(8-10 h/d),(8-10 h/d),(10 h/d),(10 h/d),,,(<8 h/d),(8-10 h/d),(8-10 h/d),(10 h/d),(10 h/d),,,(<8 h/d),(810 h/d),(810 h/d),,(10 h/d),
3,,,(n 73),(n 185),(n 185),,(n 72),,,(n 42),,(n 104),,(n 30),,,(n 28),,(n 95),,(n 39),
4,,n,%s,nt,%S,nt,,Pt,n,%S,nt,%S,nt,%S,Pt,n,%S,n,%S,n,n,Pt
5,Nutrients with DG,,,,,,38.9,,,,,,,,,,,,,,,
6,Fat,30,41-1,76,82.2,28,83.3,0.95,39,42.9,38,90.4,8,26.7,0.88,14,50.0,40,88.4,24,61.5,0.42
7,SFA,20,84.9,46,82.2,60,83.3,0.86,39,92.9,94,90.4,22,90.0,0.88,24,85.7,84,88.4,37,94.9,0.42
8,Carbohydrates,20,27.4,84,24.9,14,47.2,0.29,7,16.7,14,13.5,11,6.7,0.45,4,14.3,17,17.9,24,17.9,0.90
9,Na,20,60.3,43,23.2,17,23.6,0.77,33,78.6,5,4.8,4,76.7,0-12,5,17.9,13,13.7,8,82-1,0.59
10,Thiamin,0,0.0,0,23.8,0,25.0,,0,0.0,0,0.0,0,0.0,0.57,0,0.0,0,30.5,0,0.0,
11,Riboflavin,14,16.4,29,15.7,7,9.7,0.27,0,0.0,28,7.7,81,3.3,0.14,020,7.1,1,1-1,22,5.1,0.18
12,Folate,1,1.4,0,0.0,0,0.0,0.17,0,0.0,0,0.0,ON,0.0,,020,0.0,06304,0.0,0,0.0,
13,Vitamin A,29,39.7,0,4.9,35,48.6,0.25,5001,11.9,18,17.3,ON,23.3,0.44,2OOF,7.1,06304,6.3,7,17.9,0.10
14,Vitamin B12,8-,11.0,,0.5,31,4.2,0.73,5001,0.0,0031,0.0,,0.0,0.44,2OOF,0.0,06304,3.2,307,7.7,0.24
15,Vitamin C,25,30.1,50,27.0,27,37.5,0-21,5001,2.4,35,33.7,,6.7,0.55,2OOF,35.7,06304,29.5,307,17.9,0.18
16,Ca,ON,34-2,0,0.0,0,0.0,0-21,90,21.4,0,0.0,0,50.0,0.04*,0,0.0,0,0.0,0,46.2,0.18
17,Fe,31,42.5,0,0.0,24,0.0,0.17,0,19.0,0,0.0,7,23.3,0.38,0,0.0,0,0.0,0,30.8,<0.01**
18,Number of not-meeting,5.36,2.70,4.55,2.37,4.81,2.55,0.06,3.55,1.43,3.70,1.72,3.87,2.24,0.75,3.75A,1.62,3.76A,2.03,5.05B,2.24,<0.01**
