,0,1,2,3,4,5,6,7,8,9,10,11,12
0,UTR,,,,,,1110,,,,0+600,,
1,AIR,,qe8I'0 F8S'Z,,,,000,000,PN,*PN,*PN,,
2,,poSI'0F EV'Z,q&I'OF,q&I'OF,,,3000,,,e0'0+890,100,100,
3,,qZ8'0 F I9'LI,113,,,,3000,,,e0'0+890,110,,
4,,,qLI'0FvS'O,,,,1000,,,,qeD00FII,,
5,,pV0'O+ZO'II,q90'0 F IE'0,q90'0 F IE'0,110,00000,0000,068,eS00+Z6'0,pS00 F 98'0,,,qA0'0FLE'6Z
6,,p80'0+IZ'II,qbO'O FIZ'O,,,3000,3000,1000,,,pu,,
7,,poIZ'0Fg,q90'0 + Z8'0,q00'0 F 9Z'Z,,,3200,08'6,eZI'0 F O6'0,,,100,spSO'0FI0'SZ
8,YP,200+ 660,qZ0'0 F 0Z'0,,,,2200,qe IO'O F 6V'0,qe IO'O F 6V'0,,,,40'0+06'1Z
9,,,,,,,,,,,T0se,,
