,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,,000.07,,,,,,10007,10007,1000,10007,10007,1000,10007,1000>,,10007,10007,1000,1000,1000,1000,1000,10007,10007
1,(890'tZ=u) S,,,,,176,,,,,,,,,,,,,,,,,,,
2,8107=,,,4.46,410,,,,,,,,,,,,,,,,,,,,
3,(690'vZ=u) I,,,338,,220,,,,,,,(90)07,,,,,,,,,,,,
4,,1000,,,,,,40007,,,1000>,10007,1000,10007,400,,10007,100.07,000,t00.07,10007,1000,100.07,10007,10007
5,(890'bZ=u) s,,,,440,,,,,,,,,,,,,,,,,,,,
6,8107=,,,413,412,,00,,809,,114,,,,,,,,,,,,,,1111111
7,(690'0Z=u) I,,6'0,4.44,,1.15,10,,,,,,,,,,,,,,,,,,
8,,,90,,411,112,,,,,,,,,,,,,,,,,,,
9,,,,(42,,,,,,,,,,,,,,,,,,,,,
10,,%dnoIW,,,,,,,,,,,,,,serppes,,,,,,,,,
