,0,1,2,3,4,5,6,7,8,9,10,11,12
0,,2010-2017a,2010,2011,2012,2013,2014,2015,2016,2017b,2018c,2019c,2020
1,Nigeria,3.8,7.8,4.9,4.3,5.4,6.3,2.7,-1.6,0.8,1.9,2.1,2.7
2,Senegal,4.3,4.2,1.8,4.0,3.9,4.1,6.4,2.8,7.2,7.0,6.7,6.5
3,Sierra Leone,4.6,5.3,6.3,15.2,20.7,4.6,-20.5,6.3,3.8,5.8,6.4,7.4
4,Togo,5.8,6.1,6.4,6.5,6.1,5.9,5.7,5.6,4.4,4.9,5.5,5.4
5,Southern Africa,2.7,4.1,3.9,4.2,3.6,2.9,1.5,0.3,1.5,1.2,2.1,2.6
6,Angola,3.2,4.9,3.5,8.5,5.0,4.8,0.9,-2.6,0.7,1.0,2.4,3.0
7,Botswana,4.9,8.6,6.0,4.5,11.3,4.1,-1.7,4.3,2.4,4.4,4.0,4.1
8,Eswatini,2.8,3.8,2.2,4.7,6.4,1.9,0.4,1.4,1.5,1.3,1.0,1.3
9,Lesotho,4.0,6.1,6.9,6.0,1.8,3.1,2.5,2.4,3.1,2.0,1.5,2.6
10,Malawi,4.2,5.5,6.2,-0.6,6.3,6.2,3.3,2.7,4.0,3.6,5.1,5.2
11,Mauritius,3.8,4.4,4.1,3.5,3.4,3.7,3.6,3.8,3.8,3.7,3.9,3.2
12,Mozambique,6.2,6.7,7.1,7.2,7.1,7.4,6.6,3.8,3.7,3.4,3.4,4.1
13,Namibia,4.2,6.0,5.1,5.1,5.6,6.4,6.1,0.7,-0.8,1.0,2.6,3.5
14,South Africa,2.0,3.0,3.3,2.2,2.5,1.7,1.3,0.6,1.3,0.8,1.7,2.1
15,Zambia,5.5,10.3,5.6,7.6,5.1,4.7,2.9,3.8,4.1,3.1,3.9,3.8
16,Zimbabwe,6.8,12.6,15.4,14.8,5.5,2.1,1.7,0.6,3.0,1.5,1.0,4.0
17,Africa-net fuel exporters,2.0,5.9,-3.5,10.3,-1.5,2.6,1.2,-0.5,1.7,2.1,1.7,3.0
18,Africa-net fuel importers,3.9,4.5,4.1,3.0,4.4,4.1,3.7,3.1,4.6,3.9,4.5,4.2
19,East and South Asia,6.6,9.2,7.4,6.0,6.1,6.2,5.8,6.1,6.1,5.8,5.5,5.6
20,East Asia,6.8,9.5,7.7,6.6,6.5,6.2,5.8,5.7,6.1,5.8,5.6,5.5
21,Brunei Darussalam,0.1,2.6,3.7,0.9,-2.1,-2.5,-0.4,-2.5,1.3,2.4,2.7,3.0
22,Cambodia,7.0,6.0,7.1,7.3,7.5,7.1,7.0,6.9,7.0,7.1,7.0,6.6
23,China,7.9,10.6,9.5,7.9,7.8,7.3,6.9,6.7,6.9,6.6,6.3,6.2
24,Democratic People's Republic of,0.4,0.5,0.8,1.3,1.1,1.0,-1.1,3.9,-3.5,-1.0,1.5,1.0
25,Korea,,,0.8,,,1.0,-1.1,,,,,1.0
26,Fiji,3.2,3.0,2.7,1.4,4.7,5.6,3.8,0.4,3.8,3.5,3.3,3.4
27,Hong Kong SARf,3.4,6.8,4.8,1.7,3.1,2.8,2.4,2.2,3.8,3.4,3.1,3.2
28,Indonesia,5.5,6.2,6.2,6.0,5.6,5.0,4.9,5.0,5.1,5.1,5.1,5.1
29,Kiribati,2.9,-0.9,1.6,4.6,4.3,-0.6,10.3,1.1,3.1,2.1,2.0,2.3
30,Lao People's Democratic Republic,7.6,8.1,8.0,7.9,8.0,7.6,7.3,7.0,6.9,6.7,7.0,7.1
31,Malaysia,5.5,7.4,5.3,5.5,4.7,6.0,5.1,4.2,5.9,4.6,4.4,4.3
32,Mongolia,8.0,6.4,17.3,12.3,11.6,7.9,2.5,1.4,5.2,6.2,6.1,5.8
33,Myanmare,7.4,10.2,5.6,7.3,8.4,8.0,7.0,5.9,6.8,6.9,7.2,7.2
34,Papua New Guinea,5.9,11.2,3.4,4.0,3.6,12.5,8.0,2.4,2.5,0.8,2.7,3.1
35,Philippines,6.3,7.6,3.7,6.7,7.1,6.1,6.1,6.9,6.7,6.3,6.5,6.4
36,Republic of Korea,3.4,6.5,3.7,2.3,2.9,3.3,2.8,2.9,3.1,2.6,2.5,2.6
37,Samoa,2.1,4.3,3.6,-2.3,0.5,1.9,2.9,6.5,-0.4,0.7,2.1,3.0
38,Singapore,5.3,15.2,6.4,4.1,5.1,3.9,2.2,2.4,3.6,3.2,2.6,2.7
39,Solomon Islands,4.2,10.6,6.4,2.6,3.0,2.3,2.5,3.5,3.2,3.0,3.1,3.3
40,Taiwan Province of China,3.4,10.6,3.8,2.1,2.2,4.0,0.8,1.4,2.9,2.7,2.4,2.3
41,Thailand,3.7,7.5,0.8,7.2,2.7,1.0,3.0,3.3,3.9,4.1,3.8,3.7
42,Timor-Leste,-1.0,-1.2,11.8,5.0,-11.0,-26.0,20.9,0.8,-0.5,0.5,4.5,4.0
43,Vanuatu,2.1,1.6,1.2,1.8,2.0,2.3,0.2,3.5,4.2,3.3,3.1,3.4
44,Viet Nam,6.1,6.4,6.2,5.2,5.4,6.0,6.7,6.2,6.8,6.9,6.7,6.5
