,0,1,2,3,4,5,6,7,8,9,10,11,12
0,Element,Org,Conv,Home,Org,Conv,Home,Org,Conv,Home,Org,Conv,Home
1,23Na,,,,,Estimated dietary intake,Estimated dietary intake,Estimated dietary intake,,,,,
2,24Mg,0.15,0.16,0.16,0.13,0.14,0.13,0.09,0.09,0.17,0.13,0.13,0.15
3,43Ca,0.32,0.41,0.38,0.36,0.36,0.38,0.36,0.35,0.47,0.35,0.38,0.41
4,43Ca,0.23,0.23,0.22,0.15,0.16,0.17,0.09,0.12,0.08,0.16,0.17,0.16
5,19K,1.01,0.98,1.08,2.92,2.86,2.67,2.49,2.67,2.30,2.14,2.17,2.02
6,56Fe,0.03,0.03,0.04,0.07,0.06,0.05,0.06,0.06,0.07,0.05,0.05,0.05
7,65 Zn,N/A,N/A,N/A,N/A,0.01,N/A,N/A,0.01,N/A,N/A,0.01,N/A
8,65 Zn,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
9,7Li,,,,,Target hazard quotient,Target hazard quotient,Target hazard quotient,,,,,
10,64Cu,0.02,0.02,0.02,0.03,0.03,0.02,0.03,0.03,0.03,0.03,0.03,0.02
11,55Mn,0.05,0.05,0.04,0.03,0.04,0.04,0.01,0.01,0.02,0.03,0.03,0.03
12,56Fe,0.05,0.08,0.07,0.07,0.08,0.10,0.11,0.14,0.09,0.08,0.10,0.09
13,27 A1,0.01,0.01,0.005,0.01,0.01,0.004,0.003,0.01,0.01,0.004,0.01,0.004
14,59 Co,0.001,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001
15,60Ni,0.06,0.07,0.08,0.06,0.06,0.06,0.09,0.12,0.11,0.07,0.08,0.08
16,65 Zn,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.04,0.01,0.01,0.01,0.01
17,51V,0.03,0.04,0.03,0.02,0.02,0.03,0.04,0.04,0.03,0.03,0.03,0.03
18,108 Ag,0.19,0.21,0.21,0.13,0.11,0.12,0.11,0.10,0.11,0.15,0.14,0.15
19,137 Ba,0.003,0.004,0.003,0.002,0.002,0.002,N/A,N/A,N/A,0.002,0.002,0.002
20,88Sr,0.003,0.003,0.003,0.006,0.007,0.006,0.003,0.004,0.005,0.004,0.005,0.005
21,111Cd,0.003,0.003,0.003,0.003,0.003,0.003,0.004,0.004,0.004,0.003,0.003,0.003
22,111Cd,0.001,0.001,0.001,0.001,0.003,0.002,0.001,0.001,0.001,0.001,0.002,0.001
