,0,1,2,3,4,5,6,7,8,9,10,11,12
0,Publi-,Title,,Journal,Date,Author,Article,Publi-,Title,Journal,Date,Author,Article
1,cation,,,,,,type (R:,cation,,,,,type(R
2,type,,,,,,"review,",type,,,,,"review,"
3,(J:,,,,,,C:case,J:,,,,,C:case
4,jour-,,,,,,study),jour-,,,,,study)
5,"nal,B:",,,,,,,"nal,B:",,,,,
6,"book,",,,,,,,"book,",,,,,
7,G:,,,,,,,G:,,,,,
8,grey,,,,,,,grey,,,,,
9,"lit,M",,,,,,,"lit,M",,,,,
10,media,,,,,,,media,,,,,
11,arti-,,,,,,,arti-,,,,,
12,cle),,,,,,,cle),,,,,
13,1,Plant-based food,,Critical,2020 Asche-,2020 Asche-,R,J,Mitigating,Journal of,2020 Kinley et al C,2020 Kinley et al C,2020 Kinley et al C
14,,and protein,,Reviews in,,mann-,,,the carbon,Cleaner,,,
15,,trend from,trend from,Food Sci-,,Witzel,,,footprint and,Produc-,,,
16,,a business,,ence and,,et al,,,improving,tion,,,
17,,perspective:,,Nutrition,,,,,productivity,,,,
18,,"markets, con-",,,,,,,of ruminant,,,,
19,,"sumers,and",,,,,,,livestock agri-,,,,
20,,the challenges,,,,,,,culture using a,,,,
21,, and opportu-,,,,,,,red seaweed,,,,
22,, nities in the,,,,,,J,Symposium,Journal of,2020 Beaver et al C,2020 Beaver et al C,
23,,future,,,,,,,review:,Dairy Sci-,,,
24,J,Food as soft-,,Economic,2020 Sexton,2020 Sexton,c,,Considerations,ence,,,
25,,"ware: Place,",,Geogra-,,,,,for the future,,,,
26,,"protein, and",,phy,,,,,of dairy cattle,,,,
27,,feeding the,,,,,,,housing: An,,,,
28,,world Silicon,,,,,,, animal welfare,,,,
29,,Valley-style,,,,,,,perspective,,,,
30,,Sustainability,,Environ-,2020 Fiel et al,2020 Fiel et al,R,G,Dairy and dairy,OECD-FA0 2020 OECD,OECD-FA0 2020 OECD,OECD-FA0 2020 OECD,N/A
31,,in the dairy,,mental,,,,,products' 2020,Agri-,,FAO,
32,,industry:a,industry:a,Science,,,,,,cultural,,,
33,,systematic,, and Pol-,,,,,,Outlook,,,
34,,literature,,lution,,,,,,2020,,,
35,,review,,Research,,,,,,2029,,,
36,,,,Interna-,,,,J,Invited review:,Journal of,2020 Schuster,2020 Schuster,R
37,,,,tional,,,,,Academic,Dairy Sci-,,,R
38,,"Composition,",,Frontiers in.,2020 Roy et al,2020 Roy et al,R,,and applied,ence,,,
39,,"structure,",,Nutrition,,,,,approach to,,,,
40,,and digestive,,(Lausanne,,,,,evaluating,,,,
41,,dynamics of,,,,,,,longevity in,,,,
42,,milk from,,,,,,,dairy cows,,,,
43,,different,,,,,,J,Sharing the,Journal of,2020 Hjalsted,2020 Hjalsted,c
44,,species-,a,,,,,, safe operating,Industrial,,,
45,,review,,,,,,,space:Explor-,Ecology,,,
46,1,Livestock in,,Frontiers in2020 Leroy et al,Frontiers in2020 Leroy et al,Frontiers in2020 Leroy et al,C,, ing ethical,,,,
47,,evolving food-,,Sustain-,,,,,allocation,,,,
48,,scapes and,,able Food,,,,,principles to,,,,
49,,thoughtscapes,,Systems,,,,,operationalize,,,,
50,J,Political ecol-,,Geography,2020 Clay and,2020 Clay and,c,, the planetary,,,,
51,,ogy of milk:,,Compass,,Yurco,,,and assess,,,,
52,,Contested,,,,,,,absolute,,,,
53,,futures of a,,,,,,,absolute,,,,
54,,lively,,,,,,,sustainability,,,,
55,,Are plant-based,,Journal of,2020 Stewart,2020 Stewart,c,,at individual,,,,
56,,analogues,,Agricul-,2020 Stewart,et al,c,,and industrial,,,,
57,,replacing,,tural and,,,,,Global Dairy,,,,
58,,cow's milk in,,Applied,,,,G,Global Dairy,RaboBank,2020 Ledman,2020 Ledman,N/A
59,,the American,,Econom-,,,,,"Top 20,",,,and van,
60,,diet?,,ics,,,,,,,,Battum,
61,,,,,,,,G,Global dairy,Rabore-,2020,Rabobank,N/A
