,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
0,,,,,,,,,,Main nutrients,,,,,,,Minerals,,,,,,,Vitamins,,,
1,,,,,,DEN,(ENERC),WATER,PROCNT,FAT,(CHOCDF),FIBTG,ASH,CA,P,NA,K,FE,CU,ZN,RETOL,CARTB,VITA_RAE,THIA,RIBF,NIA,VITC
2,Food ID,Origin,Food and description,,Alternate name,g/mL,kcal,g,g,g,g,g,g,mg,mg,mg,mg,mg,mg,mg,mcg,mcg,mcg,mg,mg,mg,mg
3,,,,,,,,,,,,,4Sh,,,,,Terrre,,,,,,,,,
4,c,"Legumes, nuts, Seeds and products (continued)",,,,,,,,,,,,,,,,,,,,,,,,,
5,AAC71,THC29,"Rice bean eed,driedraw",TH,TH,-,(345),10.5,18.1,1.2,(65.4),,4.8,230,209,9,8,2.1,-,,,,,0.50,0.50,3.60,-
6,AAC72,THC16,,,,,300,9.7,22.5,2.1,33.9,27.8,4.0,68,370,16,1122,6.4,1.57,2.4,0,,-,1.09,0.18,2.00,7
7,AACT3,THC3,,Jnan(TH),Jnan(TH),-,555,4.5,19.4,46.0,6.3,19.2,4.6,913,555,69,401,15.9,2.20,3.2,0,,,0.57,0.61,5.30,
8,AAC74,"PHC043,THC1",,,,,602,3.6,22.8,52.0,Op,21.6,4.6,952,543,48,457,9.5,2.30,4.0,0,0,,0.67,0.75,5.30,
9,AAC90,THC58,,anYU(TH),anYU(TH),-,(124),58.0,10.6,4.4,(10.4),-,16.6,88,137,3701,260,4.7,-,-,,,,0.03,0.14,1.20,
10,AAC125,THC48,"Soybean curd, white, hard","2,iTH)","2,iTH)",,(11),76.7,12.4,5.9,(3.7),-,1.3,42,157,115,156,3.7,,,0,0,,0.08,0.04,2.60,
11,AAC131,/THCSO,(Tau-hoo kao),MaNnann(TH),MaNnann(TH),-,(60),88.3,5.5,3.4,(.8),,1.0,37,62,35,248,1.3,,-,,,,0.06,0.04,0.90,-
12,[AAC92,THC51,,H,H,,(41),92.1,3.8,2.2,(1.4),-,0.5,19,49,,,1.0,,,0,,.,,,-,
13,AAC93,THC64,"Soybean flour, defated",luaan(TH),luaan(TH),,(362),4.5,48.9,1.1,(39.2),,6.3,,-,-,-,-,-,-,,,,,,-,
14,AC126,THC63,"Soybean flour, fullfat",(TH),,,449,6.5,36.2,21.4,24.9,6.0,5.0,262,571,54,,3.9,,,0,,,,,,
15,AAC127,THC44,"Soybean paste, black",LenLdanan(TH),LenLdanan(TH),,(89),60.8,8.2,3.4,(6.3),,21.3,98,81,2800,250,6.8,,,0,0,,,,-,
16,AAC95,"MYC89,THC43","Soybean paste, white",(TH),"Tau-ceMY), unn",-,(134),56.0,10.2,4.6,(13.0),,16.2,111,136,2171,254,4.9,,-,0,,,0.12,0.16,1.10,0
17,AAC85,"PHC045,MYC87",,"Utaw buto,itim, tuyo(PH)","Utaw buto,itim, tuyo(PH)",,378,9.6,34.4,13.7,21.1,16.1,5.1,223,377,37,398,6.2,,,0,58,5,0.51,0.23,2.70,8
18,AAC87,"PHC047,THC33,","Soybean, seed, yellow,",,,,389,8.7,34.6,17.8,11.6,22.0,5.3,260,534,32,994,6.6,1.42,2.9,0,60,5,0.77,0.30,2.00,5
19,AAC87,MYC88,"dried, raw",,,,389,8.7,34.6,17.8,11.6,22.0,5.3,260,534,32,994,6.6,1.42,2.9,0,60,5,0.77,0.30,2.00,5
20,AAC99,"PHD214,THC32","Soybean, young seed, boiled","U9, iN(TH)","U9, iN(TH)",,152,65.0,15.1,4.1,(13.6),,2.2,167,253,,,1.3,,,0,89,7,0.29,0.18,1.80,25
21,AAC101,"PHD213,THC31",,"usa, u(TH)","usa, u(TH)",,(162),65.0,14.0,6.9,(10.9),,3.2,177,217,84,286,2.6,,-,0,95,8,0.47,0.20,1.60,27
22,AC130,THC82,"Sugar pea,coated, baked",(TH),,,457,1.7,17.9,18.9,49.9,7.7,3.9,41,,435,,4.3,,,Op,0,,0.85,0.02,,
23,AC102,/THC9,raw,u&an(TH),u&an(TH),-,(352),10.2,22.1,1.4,(62.7),-,3.6,227,28,-,,4.5,,-,,,,,0.56,3.90,-
24,AAC103,THC71,"Tamarind, seed, roasted",TH),TH),,(399),9.6,14.4,7.5,(68.5),,-,140,289,,,3.7,,,0,-,-,0.09,0.69,0.20,
25,AAC108,THC13,,aau(TH),aau(TH),,(424),9.2,34.1,15.5,(37.0),-,4.2,564,636,-,-,9.6,-,-,0,-,-,-,-,,-
