,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,,,,,,,,, Main nutrients,,,,,,,Minerals,,,,,,,Vitamins,,,
1,,,,,DEN,(ENERC),WATER,PROCNT,FAT,(CHOCDF),FIBTG,ASH,CA,P,NA,K,FE,CU,ZN,RETOL,CARTB,VITA_RAE,THIA,RIBF,NIA,VITC
2,Food ID,Origin,Food and description,Alternate name,g/mL,kcal,g,g,g,g,g,g,mg,mg,mg,mg,mg,mg,mg,mcg,mcg,mcg,mg,mg,mg,mg
3,,,,,,i1,,,,,,Ash,,,,,ee,,,,,,,,,
4,H,Eggs and Products,,,,,,,,,,,,,,,,,,,,,,,,
5,AAH2,"PHH015,MYH383",Egg.century,egg(PH),-,190,63.1,13.2,10.5,10.7,0,2.5,63,170,345,90,4.7,-,-,146,279,169,0.02,0.40,0.40,0
6,AAH3 (N),"PHH011,THH17","Egg, duck, boiled","Itlog, pugo, nilaga(PH)",-,157,73.2,13.2,11.3,0.7,0,1.7,78,195,128,139,2.2,0.08,1.1,181,25,183,0.22,0.45,0.12,0
7,AAH7,,"Egg, duck, saited",aATH),,190,64.6,13.9,12.5,5.4,0,3.6,97,198,510,148,2.3,,,208,14,209,0.25,1.04,0.60,
8,AAH8,"PHH006,THH12","Egg, duck, white",TH,-,52,86.5,12.8,(0.1),0.0,0,0.6,10,21,207,169,0.1,0.15,0.1,19,0,19,0.01,0.02,0.10,0
9,AAH9,"YH384,PHH007","Egg, duck, whole","NaTH,Trng vit(VN)",,183,70.1,12.6,13.6,2.5,0,1.2,62,206,145,113,3.2,0.18,1.0,292,436,328,0.23,0.38,0.10,0
10,,,,"telur(MY), Itlog, pato",,,,,,,,,,,,,,,,,,,,,,
11,AAH10,,"Egg. duck, yolk",pPHi,,364,48.6,14.7,32.9,2.3,0,1.5,146,415,103,88,3.9,,2.4,852,724,912,0.72,0.66,1.40,
12,,,,(TH),,,,,,,,,,,,,,,,,,,,,,
13,AAH11,THH4,"Egg, hen, omelet","1i1n, TH)",,259,64.3,7.0,24.3,3.1,0,1.3,,,,,-,-,-,,,-,-,,,-
14,AAH13,THH6,"Egg, hen, Steamed","lniln,qju(TH)",,75,84.7,4.9,4.8,3.1,0,2.5,,-,-,-,-,-,-,-,,,-,,,
15,AAH14,,"Egg, hen, white","TH,Long trang trmg",,52,86.7,10.9,0.4,1.3,0,0.7,10,14,179,151,0.4,0.03,0.4,6,0,6,0.01,0.28,0.40,0
16,,,,ga(VN),,,,,,,,,,,,,,,,,,,,,,
17,,,,togmanokbuoPH,,,,,,,,,,,,,,,,,,,,,,
18,AAH12,"PHH003,THH3","Egg. hen, whole",niWaTH Tring ga,,159,72.9,13.2,11.1,1.5,0,1.3,56,200,150,125,2.8,0.17,1.1,323,23,325,0.13,0.35,0.20,0
19,,,,toan phan(VN),,,,,,,,,,,,,,,,,,,,,,
20,AAH15 (N),"PHH004,THH18","Egg,hen,whole,boiled",,-,152,74.2,13.4,10.4,1.2,0,0.9,60,189,134,125,2.6,0.03,1.1,160,15,161,0.08,0.40,0.09,
21,,,,"Telur ayam, kuning",,,,,,,,,,,,,,,,,,,,,,
22,AAH16,,"Egg, hen, yolk",uPHTi,,332,52.0,14.8,29.5,1.9,0,1.8,133,482,106,102,6.5,0.19,2.4,620,60,625,0.31,0.48,0.20,0
23,,,,"(TH), Long d8 trmg ga(VN)",,,,,,,,,,,,,,,,,,,,,,
24,AAH17,THH9,Egg. quail in brine,l,,173,71.0,13.0,12.4,2.3,0,1.3,47,,233,,2.4,,,179,,179,,,,
25,,,,"Telur puyuh, Sebiji(MY).",,,,,,,,,,,,,,,,,,,,,,
26,AAH19,THH8,"Egg. quail, whole, biled",nsmi(TH),-,168,72.6,12.4,12.4,1.6,0,1.0,68,203,113,133,2.9,-,-,217,54,222,0.12,0.78,0.50,0
27,,,,"Itlog, pawikan, buo(PH).",,,,,,,,,,,,,,,,,,,,,,
28,AAH23,,"Egg, turle, whole",ligeaslin(linastinay,-,128,78.0,11.9,8.9,0.1,0,1.1,75,205,124,153,1.6,,-,19,4,19,0.11,0.40,0.00,
29,,,,Loinuaaniai(TH),,,,,,,,,,,,,,,,,,,,,,
30,AAH24,THH10,,"lrilannsan, L(TH)",,480,22.2,41.7,34.8,Op,,3.8,19,564,,-,1.3,,,,-,-,0.48,1.08,2.60,-
31,AAH26,,"Roe, fish, raw",,,134,72.5,19.9,5.7,0.7,0,1.2,35,255,133,137,1.5,,,86,13,87,0.08,0.03,0.70,0
