,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,,,,,,,,, Main nutrients,,,,,,,Minerals,,,,,,,Vitamins,,,
1,,,,,DEN,(ENERC),WATER,PROCNT,FAT,(CHOCDF),FIBTG,ASH,CA,,NA,K,FE,CU,ZN,RETOL,CARTB,VITA_RAE,THIA,RIBF,NIA,VITC
2,ASEAN,Origin,Food and description,Alternate name,g/mL,kcal,g,g,g,g,g,9,mg,mg,mg,mg,mg,mg,mg,mcg,mcg,mcg,mg,mg,mg,mg
3,Food ID,Origin,Food and description,Alternate name,,,,,,,,,mg,,,mg,mg,mg,mg,,,mcg,,mg,,mg
4,,,,,,,Mrrtte,,,,,,,,,,Teore,,uz'nz,,,,JWE,,,
5,G,,,"Finfish, shellfish, other aquatic animals and products (continued)",,,,,,,,,,,,,,,,,,,,,,
6,AG8,THG130,teamed,aaTH),-,163,68.1,21.2,8.6,0.3,0,1.8,62,173,344,264,0.8,0.10,0.7,-,,,0.05,0.13,6.70,-
7,AG238,THG83,"anned in brine,draine",usnilaia,,105,73.1,23.9,0.7,0.8,0.0,1.5,8,,269,,1.1,,-,4,Op,4,,-,-,-
8,AAG239,THG85,Tuna Skijack or Yellow Fin,iTH,,176,70.1,22.4,9.6,Op,0,1.6,10,-,276,,1.2,,,,-,-,,,,-
9,AG241,THG84,TunaSkipjack or YellwFin,nsLnaTH),,113,73.0,26.1,0.9,Op,0,0.9,10,,95,,1.1,-,-,,,-,,,-,0
10,AG171,THG185,"(Donax), fermented","MaaU, n(TH)",,(149),43.9,10.6,0.5,(25.5),,19.5,-,,,,-,-,,-,-,,,,,
11,AG172,,"Whiting, common/silver, raw",,,89,77.5,20.8,0.6,Op,0,1.4,86,211,80,358,0.6,,,24,,24,0.05,0.05,3.70,0
