,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
0,,,,,,,,,,Main nutrients,,,,,,,Minerals,,,,,,,Vitamins,,,
1,,,,,,DEN,(ENERC),WATER,PROCNT,FAT,(CHOCDF),FIBTG,ASH,CA,P,NA,K,FE,CU,ZN,RETOL,CARTB,VITA_RAE,THIA,RIBF,NIA,VITC
2,ASEAN,,,,,g/mL,kcal,g,g,g,g,g,g,mg,mg,mg,mg,mg,mg,mg,mcg,mcg,mcg,mg,mg,mg,mg
3,Food ID,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,4sh,,,,,,,,,,,,,,
5,J,Milk and products (continued),Milk and products (continued),,,,,,,,,,,,,,,,,,,,,,,,
6,AAJ47,THJ45,100ml,,TH,1.022,67,89.3,3.3,3.8,4.9,0,0.9,113,90,51,123,0.1,,,29,,29,0.04,0.20,,
7,AAJ32,THJ43,ml,100,M3U(TH),1.042,77,88.4,3.2,3.3,8.5,0,0.8,96,81,48,,0.1,,,33,,33,0.03,0.40,0.50,
8,AAJ35,"PHJ026,VNJ380",Yoghurt,,Sura chua(VN),,76,85.1,4.8,4.1,5.0,,1.0,150,110,,,0.1,,,77,36,80,0.06,0.36,0.70,0
9,AAJ36,"MYJ525,THJ63","Yoghurt, cream,flavour",,NaTaIS(TH),,(182),67.6,3.5,11.3,(16.6),-,1.0,140,113,69,116,0.2,,,38,24,40,0.04,0.21,0.10,0
10,,,"Yoghurt, drinking.",,,,,,,,,,,,,,,,,,,,,,,,
11,AAJ37,THJ25,[avouredaverageper 100,,iasnu,1.050,86,85.0,2.0,1.6,16.0,0,0.4,53,45,35,,0.2,,,14,,14,0.02,0.09,,
12,AAJ38,THJ26,"pasteurised, natural",,llsaTH),1.034,82,84.9,1.5,2.0,14.6,0,0.4,51,54,-,-,-,-,-,15,-,15,-,0.09,-,
