,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,,,,,,,,,Main nutrients,,,,,,,Minerals,,,,,,,Vitamins,,,
1,,,,,DEN,ENERC,WATER,PROCNT,FAT,CHOAVLDF,FIBTG,ASH,CA,P,NA,K,FE,CU,ZN,RETOL,CARTB,VITA_RAE,THIA,RIBF,NIA,VITC
2,,,,,,(ENERC),WATER,PROCNT,FAT,(CHOCDF),FIBTG,ASH,CA,P,NA,K,FE,CU,ZN,RETOL,CARTB,VITA_RAE,THIA,RIBF,NIA,VITC
3,ASEAN,Origin,Food and description,Alternate name,g/mL,kcal,g,g,g,g,9,g,mg,mg,mg,mg,mg,mg,mg,mcg,mcg,mcg,mg,mg,mg,mg
4,Food ID,Origin,Food and description,Alternate name,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,4sh,,,,,Torre,,,,Crrrrre,,,,,
6,U,Miscellaneous,,,,,,,,,,,,,,,,,,,,,,,,
7,AAU21,THU17,Bamboo caterillarraw,MuaulSsilai(TH),,,60.0,15.3,-,,,-,42,155,,139,1.8,,-,-,-,,0.12,1.05,0.90,-
8,AAU22,THU18,Trried,"MuaulSili,man(TH)",,644,4.5,25.5,55.3,11.0,Op,3.7,4,356,609,674,2.7,,,,-,-,,-,,-
9,AAU26,THU16,Bird ns in ealed bott,NUN(TH),,69,82.5,0.5,0.0,16.8,,0.2,55,,5,,0.2,,,,,,0.00,0.02,,-
10,AAU23,THU12,blanched,NNa(THh),,125,68.4,17.2,4.3,1.3,5.9,2.9,31,158,293,288,7.7,,,,-,-,0.19,1.09,3.40,-
11,AAU57,THU22,"Chicken essence,100 ml.",Tulnana(TH),1.026,32,93.7,8.1,0.0,0.0,0,0.8,6,,122,,0.5,,,,,,0.00,0.05,,
12,AAU40,"THU1.PHTOO5,","Creamer, non-dairy","Krimer, bukan.",,471,2.9,3.2,18.4,73.1,0,2.4,19,295,104,788,0.5,,,12,8,13,0.00,0.06,0.50,0
13,AAU40,MYU552,"Creamer, non-dairy",ens(MY)3TH),,471,2.9,3.2,18.4,73.1,0,2.4,19,295,104,788,0.5,,,12,8,13,0.00,0.06,0.50,0
14,AAU33,THU3,Cricket,SM3a(TH),-,127,71.4,12.9,5.5,4.6,3.5,2.1,76,185,87,306,9.5,,,,-,,0.36,1.91,3.10,
15,AAU35,THU14,[Giant water bug,WU(TH),,174,63.2,19.8,8.3,2.8,4.3,1.6,44,226,84,192,13.6,-,-,-,-,,0.09,1.50,3.90,-
16,AAU36,THU19,"Hornet, young",21(TH),,(141),71.7,13.7,6.3,(7.4),-,0.9,61,142,-,,,-,,0,205,17,0.01,-,3.00,-
17,AAU24,THU13,June beetle,aNsnyu(TH),-,88,74.1,13.4,1.4,2.9,5.0,3.2,23,207,465,463,6.4,,,-,,-,0.29,1.19,4.00,-
18,AAU37,THU8,Locust,Sinuaulunj(TH),-,97,76.7,14.3,3.3,0.6,4,1.1,28,150,32,217,3.0,-,-,-,,,0.19,1.50,3.90,-
19,AAU39,THU11,Mole cricket,LAASAU(TH),-,130,71.2,15.4,6.3,1.5,2.9,2.7,76,254,97,268,41.7,,,,-,,0.20,1.89,4.80,
20,AAU43,THU10,Red ant,NALAN(TH),,111,74.0,13.9,3.5,5.1,1.8,1.7,48,206,56,222,5.7,-,-,,-,-,0.24,0.88,3.40,
21,AAU44,THU9,"[Red ant, egg",lriaNAILAN(TH),,83,81.9,7.0,3.2,5.6,1.7,0.6,8,113,28,96,4.1,-,-,-,-,,0.15,0.19,0.90,-
22,AAU45,THU6,"Red ant, young female",1Lil(TH),-,189,66.1,12.7,12.5,5.2,2.5,1.0,23,173,50,168,3.4,-,-,,-,,0.31,0.71,3.30,-
23,AAU48,/THU4,"Sik worm, pupae",ainuala(TH),-,123,75.3,12.2,7.0,1.8,2.0,1.7,42,167,14,139,1.8,,,,-,,0.12,1.05,0.90,-
24,AAU5O,THU20,"Spirin, dried",TH),,359,6.3,62.3,6.5,8.0,9.6,7.3,346,709,847,1091,37.6,0.80,1.7,0,,,1.95,2.53,16.50,
25,AAU51,THU21,"Spirulina, fresh.",WsalguanTH),-,45,89.1,7.5,0.8,Op,4.1,1.0,50,86,84,122,3.9,0.00,0.2,0,,-,0.33,0.38,1.00,-
26,AAU25,THU15,True water bettle,,,166,61.2,21.0,7.1,1.3,6.6,2.8,37,205,62,198,6.4,,,,,,0.31,3.51,6.90,
