,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
0,,,,,,,,,,Main nutrients,,,,,,,Minerals,,,,,,,Vitamins,,,
1,,,,,,DEN,(ENERC),WATER,PROCNT,FAT,(CHOCDF,FIBTG,ASH,CA,P,NA,K,FE,CU,ZN,RETOL,CARTB,VITA_RAE,THIA,RIBF,NIA,VITC
2,ASEAN,,Food and description,Alternate name,Alternate name,g/mL,kcal,g,g,g,g,g,g,mg,mg,mg,mg,mg,mg,mg,mcg,mcg,mcg,mg,mg,mg,mg
3,Food ID,,Food and description,Alternate name,Alternate name,,,,,,,,,,,,mg,,,,,,,,,,
4,,,,,,,,Mrttre,,,,,4sh,,,,,Orre,,,,,,,,,
5,D,Vegetables and products (continued),Vegetables and products (continued),,,,,,,,,,,,,,,,,,,,,,,,
6,AAD126,THD112,"Tamarind,young pod,raw",TH,TH,,55,76.9,1.7,0.2,Op,23.0,1.0,,-,,,,,-,,76,6,,,,
7,AAD128,"VND88,MYD225","Tomato, raw","TH), Ca chua(VN)","Kamatis(PH), ama",-,23,93.5,1.0,0.3,3.4,1.2,0.6,17,26,9,151,0.9,0.13,0.2,0,526,44,0.07,0.06,0.40,29
8,AAD130,THD119,"Tomatocherry,small, raw",LTmn(TH),LTmn(TH),,23,93.2,1.0,0.3,3.3,1.7,0.5,9,23,10,204,0.5,0.07,0.2,0,-,,0.09,0.04,0.70,33
9,AAD164,THD146,"Water lil, stem, raw",TH),,-,8,96.6,0.3,0.1,0.7,1.7,0.6,8,9,-,,0.4,,-,0,44,4,,,-,9
10,AAD132,THD63,"[Water mimosa, raw",inngIQn(TH),,-,38,87.3,4.2,0.4,2.0,4.9,1.2,63,58,12,228,4.8,0.06,0.4,0,3536,295,0.13,0.33,1.90,29
11,AAD133,YD234,"Watercress,raw",[coy(MY). Cai xoong(VN),[coy(MY). Cai xoong(VN),-,18,93.6,1.9,0.1,1.1,2.5,0.8,158,39,62,249,1.5,,-,0,1175,,0.09,0.13,0.70,57
12,,,,acang botor(MY),acang botor(MY),,,,,,,,,,,,,,,,,,,,,,
13,AAD16,PHD272VND115,"Winged bean, pod,fresh, raw",nTHDau rong,nTHDau rong,,23,91.4,2.2,0.1,0.9,4.9,0.5,64,28,3,93,0.7,0.16,0.4,,234,20,0.07,0.10,0.60,19
14,,,,(qua non)(VN),,,,,,,,,,,,,,,,,,,,,,,
15,AAD17,,"fresh, raw",AnUn(TH),"berde(PH),",,35,90.1,2.6,0.6,3.4,2.7,0.6,53,43,15,139,0.8,0.20,0.5,0,246,21,0.10,0.11,0.80,20
