,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,,,,,,,,Main nutrients,Main nutrients,,,,,,,Minerals,,,,,,,Vitamins,,,
1,,,,,DEN,(ENERC),WATER,PROCNT,FAT,(CHOCDF),FIBTG,ASH,CA,P,NA,K,FE,CU,ZN,RETOL,CARTB,VITA_RAE,THIA,RIBF,NIA,VITC
2,ASEAN,Origin,Food and description,Alternate name,g/mL,kcal,g,g,9,,g,g,mg,mg,mg,mg,mg,mg,mg,mcg,mcg,meg,mg,mg,mg,mg
3,Food ID,Origin,Food and description,Alternate name,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,aetm,
5,D,Vegetables and products (continued),Vegetables and products (continued),,,,,,,,,,,,,,,,,,,,,,,
6,AAD29,"MYD146,PHD042","Cashew nut, leaf and top.","dahon, nilaga(PH)",,(48),87.4,3.1,0.2,(8.5,,0.8,56,36,8,384,2.4,,,0,2568,214,0.01,0.64,0.60,72
7,,,,Pucuk ubi kayu(MY).,,,,,,,,,,,,,,,,,,,,,,
8,AAD30,"VND202,THD137","top,raw",aTHLa,,65,81.1,6.3,0.7,6.1,4.6,1.2,158,51,20,28,1.6,-,,0,3882,324,0.19,0.45,1.90,211
9,,,,san tual(VN),,,,,,,,,,,,,,,,,,,,,,
10,AAD31,THD20,"Cassia, flower, raw",anan(TH),,(102),73.9,4.2,0.5,(20.1),,1.3,19,25,,,1.5,,,,,,0.11,0.54,1.80,441
11,AAD32,/THD21,"Cassia, leaf, raw",ian. 1u(TH),,104,70.2,6.3,0.7,15.1,5.8,1.9,125,129,39,521,2.4,,,0,240,20,0.42,0.63,3.20,56
12,AAD33,THD22,Cassiatender tip.raw,iman.an(TH},,(65),83.9,4.5,0.9,(9.7),,1.0,51,79,45,386,0.5,,-,0,-,-,,0.36,2.60,2
13,/AAD34,"D167,PHD045","Caulflower, inflorescence","ainan(TH), Sup la(VN)",,30,90.9,2.6,0.1,3.9,1.7,0.8,28,48,51,205,0.8,,-,0,26,2,0.10,0.10,0.70,68
14,AAD35,,Celeryleaf and petiorw,angkay(PH.Wnu,,25,91.1,1.3,0.2,3.2,2.6,1.6,164,35,82,329,2.5,0.10,0.5,0,80,7,0.03,0.09,0.50,21
15,,,,"TH), Can tay(VN)",,,,,,,,,,,,,,,,,,,,,,
16,AAD37,"VND168,PHD050","Chayote, fruit, raw",su(VN),,(21),94.4,0.6,(0.1),(4.5),-,0.4,24,10,-,,0.4,,,0,35,3,0.02,0.02,0.40,10
17,AAD155,THD75,pickled,TH,,(55),72.5,1.3,0.2,12,,14.0,,,-,,,,-,0,-,-,,,,
18,AAD40,"VND96,THD33,","Chrysanthemum, leaf, raw",Cai cuc(VN),,18,93.8,2.2,0.4,0.3,2.0,1.3,76,33,63,452,2.1,0.10,0.5,0,2915,243,0.06,0.16,0.50,20
19,,,,Daun ketumbar,,,,,,,,,,,,,,,,,,,,,,
20,AAD41,THD87,"Coriander, leaf, raw","dahonPH,nTH,Rau",,27,90.3,2.5,0.2,2.2,3.0,1.8,127,46,23,544,2.6,0.10,0.2,0,2587,216,0.10,0.39,1.00,127
21,,THD87,,mui(VN),,,,,,,,,,,,,,,,,,,,,,
22,AAD42,THD16,"Corn, baby",nIwaRau(TH),,27,91.7,1.9,0.2,3.6,1.5,1.1,9,49,279,182,0.4,0.08,0.6,,,,0.09,0.13,0.70,24
23,AAD43,THD17,,TH,,24,92.2,1.6,0.4,2.4,2.4,1.0,7,-,254,,-,,-,0,-,-,-,-,,-
24,AAD44,PHD063,"fresh, raw","nanTH,Dau dUaVN)",,45,86.1,4.1,0.2,4.8,4.0,0.8,69,40,28,93,1.2,,,,346,29,0.18,0.16,1.60,29
25,AAD46,"MYD158,PHD069","Cucumber, long",[chuovDua gang(VN),,16,95.4,0.6,0.1,2.8,0.7,0.4,18,22,14,118,0.4,,,0,27,2,0.03,0.04,0.20,8
26,[AAD45,THD34,"Cucumber, small",(TH,-,21,93.9,0.8,0.1,3.7,1.0,0.5,20,28,5,166,0.4,0.05,0.2,0,52,4,0.04,0.05,0.30,12
27,AAD52,"THD123,VND92,M","Egg plant,purple, raw",Terung(MY). Talong(PH),,(32),91.6,1.3,0.1,(6.4),,0.6,20,29,9,55,0.6,,,,85,7,0.08,0.06,0.70,18
28,AAD52,"YD162,PHD073","Egg plant,purple, raw","TH,Ca timVN",,(32),91.6,1.3,0.1,(6.4),,0.6,20,29,9,55,0.6,,,,85,7,0.08,0.06,0.70,18
29,AADSO,THD124,"long,raw",Ta(TH),-,22,92.9,1.0,0.1,3.2,2.3,0.5,15,37,5,155,0.4,0.10,0.2,0,-,-,0.06,0.09,0.50,4
30,AAD51,THD121,"Eggplanbrinjal, pickled",TH,,(27),90.6,1.1,0.2,(5.1),,3.0,,,,,,,-,0,,,,,,
31,AAD54,THD120,"Eggplantbrinjal, raw",,,31,90.2,1.5,0.2,4.5,2.8,0.8,22,37,12,251,0.9,0.13,0.2,0,62,5,0.07,0.04,0.70,8
32,AAD154,THD88,Fennel,winTiN(TH),-,(42),88.3,2.5,0.4,(7.2,-,1.6,79,48,70,439,2.3,-,-,0,5203,434,-,0.22,1.20,23
