,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,,,,,,,,,Main nutrients,,,,,,,Minerals,,,,,,,Vitamins,,,
1,,,,,DEN,(ENERC),WATER,PROCNT,FAT,(CHOCDF,FIBTG,ASH,CA,P,NA,,FE,CU,ZN,RETOL,CARTB,VITA_RAE,THIA,RIBF,NIA,VITC
2,ASEAN,Origin,,,g/mL,kcal,g,,g,g,g,g,mg,mg,mg,mg,mg,mg,mg,mcg,mcg,mcg,mg,mg,mg,mg
3,Food ID,Origin,,Alternate name,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,4sh,,,,tass,,opeer,,,,,11,,,
5,c,"Legumes, nuts, Seeds and products",,,,,,,,,,,,,,,,,,,,,,,,
6,AAC3,THC39,"Bambara groundnut, boiled",.HN(TH,,(160),61.7,7.1,2.8,(26.5),,1.9,22,127,,,,,,,,,0.10,0.18,1.60,
7,AAC2,THC38,raw,3ms Au(TH),,(180),58.1,8.4,3.8,(28.1),,1.6,20,143,,,,-,-,0,,,,0.37,2.90,4
8,AAC4,,"Bean,black, dried,raw",den(VN),-,305,12.1,21.3,1.9,40.0,21.3,3.4,66,362,7,4,9.3,0.90,3.5,0,-,,0.55,0.19,2.10,3
9,AAC6,"THC26,MYC81",[Beanhyacintdriedrw,,,(345),11.2,25.7,0.8,(58.8),:,3.5,66,372,43,407,6.5,,,,202,17,0.46,0.12,3.00,0
10,AAC1O,THC10,"Broad bean,seed,ried,raw",hnTH),,(349),11.9,22.1,1.5,(61.8,,2.7,90,344,,1762,6.3,,,0,,,,,,
11,AAC11,THC36,,,-,(353),10.9,26.6,2.2,(56.6),-,3.7,-,43,-,,6.2,,,0,,-,-,1.36,4.70,-
12,AAC117,THC74,"Cashew nut,baked",,,557,2.2,23.4,41.8,13.8,16.1,2.7,22,473,,,,,,0,,,0.86,0.19,1.10,1
13,AAC16,THC72,"Cashew nut, fresh, raw",,-,299,50.5,11.6,23.0,9.2,4.5,1.2,11,223,-,,0.1,-,-,0,-,-,0.36,0.20,0.90,1
14,AAC18,"PHC003, MYC112",Chestnut roasted,binusa(PH),,224,40.4,4.7,3.6,36.7,12.9,1.7,28,78,5,321,1.5,,,0,0,,0.20,0.09,1.30,14
15,AAC19,"PHC004,MYC76","[Chickpea, dried, raw","Garbansos, tuyo(PH)",,(374),10.1,19.8,5.1,(62.1),-,2.9,137,309,7,835,5.2,,-,0,10,1,0.31,0.16,1.30,1
16,AACI7,THCS,"dried, raw",TH,,(352),10.9,22.5,2.3,(60.3),,4.0,306,408,,,7.5,,,,,,0.66,0.11,2.40,-
17,/AC2T,TrHC12,"[colours, dried, raw.",TH),-,(357),8.7,23.8,2.0,(61.0),-,4.5,66,447,15,8,10.0,,,,,,1.01,0.38,3.00,-
18,AAC118,THC65,"Jackfruit, eed, raw",LNayuu(TH),,(153),60.7,5.5,0.2,(32.2),,1.4,,105,,,2.9,,,,,,1.74,,3.10,24
19,AAC47,THC76,"Job's tears, seed, whole","gnLHau, Hu(TH)",,359,10.6,14.6,2.6,67.6,3.6,1.0,19,148,,,4.8,,-,-,,,0.34,0.09,2.10,17
20,AAC48,"PHC020,THC18",Kidney beanreddrirw,"Abitsuwelas buto, pula",,299,11.6,19.6,1.9,38.8,24.3,3.8,109,388,,,6.7,,,0,T,,0.35,0.77,2.40,0
21,AAC53,"THC77,PHA134","Munghean noodle, dried, raw",f11 100 %(TH),-,345,11.5,0.2,0.2,83.2,4.8,0.1,22,10,7,,1.0,,,0,0,0,0.01,0.01,0.10,0
22,AAC61,THC78,,,,353,7.3,1.8,6.9,70.1,1.5,12.4,41,,3265,70,1.6,-,,0,0,0,0.05,0.01,,
23,,,,"Munggo buto, b",,,,,,,,,,,,,,,,,,,,,,
24,AACS55,"MYC83,VNC71","dried, raw",(TH). Bau xa (au,-,301,10.6,23.2,1.9,34.7,26.1,3.5,97,349,44,863,5.9,1.47,2.7,0,165,14,0.73,0.26,2.50,2
25,,,,tat(VN),,,,,,,,,,,,,,,,,,,,,,
26,AAC41,"MYC84,PHC029",,tuyo(PH),-,(343),11.9,18.7,0.7,(65.5),-,3.2,86,317,15,739,6.6,,-,,8,1,0.53,0.30,2.20,0
27,AACS8,"THC7,PHC031",[gram),tuyo(PH) fa(TH),,329,8.7,24.5,1.2,47.9,14.2,3.5,206,328,23,279,4.3,,,,98,8,0.44,0.38,1.90,0
28,AAC62,THC34,"Pea,seed,dried, raw",HamaUW(TH),,(341),12.2,23.6,1.0,(59.4),,3.8,,,,,,,,,-,,,,,-
29,AAC63,"THC37,MYC124",,M(TH),,543,6.4,24.9,43.0,5.2,18.0,2.5,69,348,32,483,5.9,1.60,2.0,0,0,0,1.31,0.28,14.70,0
30,AAC121,THC95,roasted,,,594,5.4,25.6,49.1,9.7,5.2,5.0,35,789,24,469,6.0,2.00,8.0,,,,,,,
31,AAC123,THC96,,,,555,8.8,22.9,45.7,10.0,5.9,6.7,40,834,1160,389,7.0,2.00,7.0,0,-,-,-,-,-,-
32,AAC122,THC67,,,,384,37.3,16.8,32.5,2.8,6.7,3.9,24,606,16,356,5.0,2.00,5.0,0,,-,-,,,
