,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,,,,,,,,,Main nutrients,,,,,,,Minerals,,,,,,,Vitamins,,,
1,,,,,DEN,(ENERC),WATER,PROCNT,FAT,(CHOCDF),FIBTG,ASH,CA,P,NA,K,FE,CU,ZN,RETOL,CARTB,VITA_RAE,THIA,RIBF,NIA,VITC
2,Food ID,Origin,Food and description,Alternate name,g/mL,kcal,g,,g,,g,g,mg,mg,mg,mg,mg,mg,mg,mcg,mcg,mcg,mg,mg,mg,mg
3,,,,,,,,,,,,,,,,,te,,,,,,,i1,,
4,G,,"Finfish, shellfish, other aquatic animals and products (continued)","Finfish, shellfish, other aquatic animals and products (continued)",,,,,,,,,,,,,,,,,,,,,,
5,AAG132,IDG48.VNG363,"Shrimp, dried",T8m kh8(VN),,316,13.8,69.1,4.0,1.0,0,12.1,770,517,547,365,5.3,2.40,3.2,40,,,,,0.10,
6,AAG237,THG14,"Shrimp, slted, dried",,-,263,16.1,46.4,2.9,12.8,0,21.8,2305,625,:,,20.0,-,,,,,0.05,0.20,5.70,-
7,AAG34,THG80,"Silver-barb, common,raw",TH,,124,74.0,21.1,4.4,Op,0,1.3,32,172,90,202,0.6,0.10,0.1,,,:,0.02,0.06,3.10,-
8,AAG176,THG78,"Silver-barb, common, boiled",aiaTH),,177,68.2,19.3,10.7,0.8,0,1.0,37,179,64,188,0.6,0.10,0.2,-,-,-,0.00,0.14,2.30,-
9,AAG177,THG79,"Silver-barb,common, fried",mTH),,311,49.3,25.5,22.8,0.9,,1.5,78,257,106,313,1.7,0.10,0.4,-,,,0.04,0.14,3.40,-
10,AAG135,MYG459,"Slipmouth, ponyfish, raw",Sapsap(PH),,84,79.2,18.8,1.0,Op,0,1.3,56,181,99,227,0.5,,,29,18,31,0.02,0.08,2.50,
11,AAG53,"VNG351,VNG353","Snail, fresh water, all species","8c buou,6c nh6i(VN)",,84,77.2,11.5,0.7,7.9,0,2.7,1334,128,,,,,,,,,0.01,0.06,1.00,
12,AAG253,THG168,"Snail, pond, river",M83X(TH),,74,79.3,12.1,0.7,4.9,,3.0,,114,,,8.7,-,-,,,,0.01,0.60,3.40,0
13,AAG92,THG51,Snakeheadstripeddrid,Jaiauui(TH),,249,38.1,45.7,7.0,0.8,0,8.4,194,184,,,3.3,-,-,-,-,,0.03,0.06,,-
14,AAG184,THG30,"Snapper redMalabar,boie",RIS(TH),,104,74.2,23.9,0.9,0.0,0,1.0,55,178,114,195,0.4,0.00,1.2,,,,0.02,0.18,3.20,-
15,AAG185,THG31,"Snapperred, Malabarfred","Janewuasauusthu,",,215,58.3,29.3,10.9,Op,0,1.6,101,272,189,321,0.5,0.00,0.2,,,,0.02,0.07,3.90,-
16,AAG183,"PHG098, THG33","Snapper, red, Malabar, raw","newsunsaunshu, aa",,72,81.5,16.9,0.5,0.0,0,1.1,31,144,104,182,0.6,0.00,0.1,28,T,28,0.04,0.08,3.00,
17,AAG186,THG32,,i(TH),,98,75.3,22.9,0.7,Op,0,1.2,39,171,107,230,0.3,0.00,0.2,,,,0.03,0.07,,
18,AAG140,"THG34,MYG489","Snapper, rusell, raw","inaa,n(TH)",,82,78.5,19.5,0.3,0.2,0,1.5,46,211,79,300,0.5,,:,4,,4,0.04,0.09,2.10,0
19,AAG204,THG146,"Squid, splendid, dried",ainni(TH),-,252,36.2,47.9,5.6,2.5,0,7.8,24,,,,,,,-,,,-,-,-,
20,AAG202,THG143,"Squid, splendid, raw","Janwsinnau, a(TH)",,68,82.5,15.4,0.4,0.6,0,1.1,8,163,254,107,2.1,0.20,1.1,,,,-,-,-,
21,AAG203,THG142,,Lan(TH),,299,24.1,62.4,3.8,3.7,0,6.0,78,282,,-,1.6,-,-,,,,0.04,0.12,,:
22,AAG205,THG145,frozen,"Ra2, riuin(TH)",,59,85.6,11.8,1.0,0.7,0,0.9,12,,238,-,0.5,-,-,,-,-,-,-,-,-
23,AAG143,,Sting rayblue spottedrw,,-,88,78.1,21.3,0.3,Op,0,1.4,18,103,80,220,0.6,,-,11,2,11,0.04,0.06,2.70,
24,AAG151,"PHG144,MYG494","Threadfin, all species, raw",,-,108,77.0,20.2,3.0,Op,0,1.3,32,197,29,226,0.5,-,-,10,1,10,0.10,0.07,3.50,1
25,AAG150,MYG493,"hreadfn, dred","Kurau, kering(MY)",,178,44.8,40.1,1.9,Op,0,15.3,112,166,3158,122,1.0,,,44,,44,0.08,0.15,3.90,0
26,AAG15,,"rilapia, ll species, raw",(TH)**,-,94,77.7,18.4,1.9,0.8,0,1.2,46,194,56,292,0.8,0.00,0.2,31,3,31,0.03,0.10,2.20,0
27,AAG6,THG129,"Trevally, black-banded, fried",lananana(TH),,241,56.8,26.0,15.0,0.4,,1.8,91,256,249,362,0.8,0.10,0.5,,,,.0.06,0.16,4.70,
28,AAG7,THG131,grilled,"anaha,L(TH)",-,146,70.4,22.1,6.4,Op,0,1.2,62,201,206,276,0.5,0.00,0.4,-,-,,0.06,0.12,4.70,-
29,AAG4,THG132,"Trevally,black-banded, raw","Janaha,an(TH)",,134,71.9,18.6,5.3,2.9,0,1.3,42,108,284,274,0.6,0.10,0.3,-,-,-,0.04,0.11,5.70,-
