,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,,,,,,, Non-Pregnant Women (Benin), Non-Pregnant Women (Benin), Non-Pregnant Women (Benin), Non-Pregnant Women (Benin),,,,,,,,, Non-Pregnant Women (Ghana), Non-Pregnant Women (Ghana), Non-Pregnant Women (Ghana), Non-Pregnant Women (Ghana),,,,
1,,,Fe (mg),Fe (mg),Zn (mg),Zn (mg),(g RE),(g RE),Niacin (mg),Niacin (mg),Folate (g),Folate (g),Iodine (g),Iodine (g),Fe (mg),Fe (mg),Zn (mg),Zn (mg),(g RE),(g RE),Niacin (mg),Niacin (mg),Folate (g),Folate (g),Iodine (g),Iodine (g)
2,,,U,R,U,R,U,R,U,R,U,R,U,R,U,R,U,R,U,R,U,R,U,R,U,R
3,,,14.2,5.0,8.0,2.5,285,146,9.9,"3,9",372,134,0.8,0,10.3,5.8,5.7,3.6,249,62,9.4,9.1,188,91,0.3,0
4,Diet,%EAR *,48,17,196,61,80,41,90,35,116,42,1,0,35,20,139,87,70,17,85,83,59,28,0,0
5,Diet,%RNI *,24,9,164,51,57,29,70,28,93,33,1,0,18,10,116,73,50,12,67,65,47,23,0,0
6,,%UL *,32,11,18,6,10,5,28,11,37,13,0,0,23,13,13,8,8,2,27,26,19,9,0,0
7,,,21.3,5.0,14.5,2.5,1934,804,14.1,3.9,687,134,281,354.2,13.9,9.6,7.4,5.4,695,441,13.0,12.9,317,225,107,41
8,Diet + Mandatory,%EAR,72,17,354,61,542,225,128,35,215,42,263,331,47,33,181,132,195,124,118,117,99,70,100,38
9,fortification,%RNI,36,9,296,51,387,161,101,28,172,33,187,236,24,16,151,110,139,88,93,92,79,56,71,27
10,,%UL,47,11,32,6,64,27,40,11,69,13,26,32,31,21,16,12,23,15,37,37,32,23,10,4
11,,,,,,,,,,,,,,,13.3,21.1,7.3,12.4,938,781,10.9,31.2,304,392,107,41
12,Diet+ fortification+,,,,,,,,,,,,,,45,72,178,302,263,219,99,284,95,122,100,38
13,Biofortification,,,,,,,,,,,,,,23,36,149,252,188,156,78,223,76,98,71,27
14,,,,,,,,,,,,,,,29,47,16,27,31,26,31,89,30,39,10,4
15,,,23.7,7.2,15.7,3.5,2144,1015,17.5,7.1,733,177,281,354.2,15.5,11.5,8.3,6.2,2678,735,14.1,16.1,347,258,107,41
16,All + MN *** rich food,%EAR,81,24,383,85,600,284,159,65,229,55,263,331,53,39,202,151,750,206,128,146,109,81,100,38
17,except red palm oil,% RNI,40,12,321,71,429,203,125,51,183,44,187,236,26,20,169,126,536,147,101,115,87,65,71,27
18,,%UL,53,16,35,8,71,34,50,20,73,18,26,32,34,26,18,14,89,24,40,46,35,26,10,4
19,,,23.7,7.3,15.5,3.5,6777,2866,17.4,7.1,730,177.4,281,354,15.4,11.6,8.3,6.1,1148,2278,14.1,10.2,347,254,107,41
20,All+ fortification except,% EAR,80,25,378,85,1898,803,158,65,228,55,263,331,52,39,202,149,322,638,128,92,109,79,100,38
21,oil fortification,% RNI,40,12,316,71,1355,573,124,51,183,44,187,236,26,20,169,125,230,456,101,73,87,63,71,27
22,,%UL,53,16,34,,226,96,50,20,73,18,26,32,34,26,18,14,38,76,40,29,35,25,10,234
