,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
0,,,,,,,,,Main nutrients,,,,,,,,Minerals,,,,,,,Vitamins,,,
1,,,,,DEN,(ENERC),WATER,PROCNT,FAT,CHOCDF,FIBTG,ASH,,CA,P,NA,,FE,CU,ZN,RETOL,CARTB,VITA_RAE,THIA,RIBF,NIA,VITC
2,Food ID,Origin,Food and description,Alternate name,g/mL,kcal,,g,g,g,g,,,mg,mg,mg,mg,mg,mg,mg,mcg,mcg,mcg,mg,mg,mg,mg
3,,,,,,,,,,,,4sh,,,,,,,Ppepr,,,,,,,,
4,F,"Meat, other animals and products","Meat, other animals and products",,,,,,,,,,,,,,,,,,,,,,,,
5,AAF9,HF60,"Beef, blood","TH), Tiet b(VN)",,81,77.4,19.5,0.2,0.3,0,2.6,,12,30,-,62,46.8,-,,45,225,64,T,0.03,0.90,0
6,AAF11,"VNF265,PHF003","Beef, brain, raw","Baka utak(PH,6c bb(VN)",,124,79.3,9.7,9.5,0.0,0,1.5,,9,260,,,1.7,,-,115,0,115,0.13,0.19,3.80,0
7,AAF18,PHF011,"Beef, heart, raw","puso(PH), Tim b6(VN)",,112,76.1,17.6,4.0,1.3,0,1.0,,14,150,28,239,4.3,-,,137,142,149,0.28,0.50,5.10,1
8,AAF19,PHF014,[Bef kidney. raw,"batPH), Bau dyc boVN)",,89,79.5,16.1,2.3,0.9,0,1.2,,26,212,168,188,8.5,-,-,246,476,286,0.31,1.00,5.00,5
9,AAF23,PHF019,"Bee, liver, raw","atay(PH),Gan boVN)",-,133,69.9,20.3,3.5,5.0,0,1.3,,16,304,23,280,10.1,,-,8212,353,8241,0.28,1.51,11.30,18
10,AAF188,THF63,BeLongu o wnT,BeLongu o wnT,,,76.8,-,-,,,-,,4,238,72,365,2.6,0.00,3.1,-,,,-,,,-
11,AAF25,PHF021,"Beef lungs, raw",bo(VN),,93,78.1,16.0,(1.8),3.1,0,1.0,,23,136,114,203,6.1,,,71,144,83,0.12,0.21,2.50,6
12,/AAF2,THF61,"[Bee, meat al",,-,84,77.5,16.5,0.7,2.9,0,2.4,,21,58,779,,5.0,-,-,-,,,-,-,-,-
13,AAF44,"VNF264,PHF047","Beef, tongue,raw",bo(VN),,191,68.0,14.2,13.4,3.5,0,0.9,,25,158,,,2.3,,,100,0,100,0.08,0.17,4.20,0
14,AAF185,THF36,cin.ra,"nn, men ATH",,127,73.3,22.7,4.0,Op,0,0.8,,,134,-,,2.4,,,,-,,0.16,0.26,1.60,-
15,AF91,THF26,"Chicken, blood, cooked","n,Lanai(TH)",,30,91.5,7.1,0.2,0.0,,1.2,,10,45,317,47,12.9,,,,,,,,0.30,
16,AAF99,,"Chicken, breast, w/ skin, raw",pitPHInanTH),,152,71.2,19.9,8.0,Op,0,1.0,,12,186,71,252,0.9,0.07,0.4,16,3,16,0.05,0.09,6.80,1
17,AAF100,"THF11,PHF102","Chicken, drumstick, raw",i(TH),,152,70.0,17.9,7.2,4.0,,0.9,,10,142,118,201,1.0,0.14,1.3,10,,10,0.07,0.27,3.90,2
18,/AAF101,"MYF371,PHF094","Chicken, feet, deboned, raw","Kaki ayam, tanpa",,205,65.5,25.5,11.4,Op,0,0.8,,75,78,109,55,1.5,-,-,17,,17,0.01,0.08,1.20,1
19,,,,Manok balun-,,,,,,,,,,,,,,,,,,,,,,,
20,AAF95,,,balunanPH).r,,102,76.0,20.2,1.8,1.2,0,0.8,,13,124,34,206,3.1,0.10,,31,20,33,0.05,0.21,3.20,3
21,,,,"L(TH), M6 ga(VN)",,,,,,,,,,,,,,,,,,,,,,,
22,AAF96,"VNF325,MYF373","[Chicken, heart, raw",ga(VN),,112,77.8,15.8,5.4,0.0,,1.0,,14,186,106,260,4.0,,-,75,0,75,0.11,0.42,4.50,6
23,AF102,"MYF374,PHF100","Chicken, intestine, raw",,,154,77.3,10.7,12.3,Op,0,0.6,,17,163,22,90,1.1,,,37,,37,0.08,0.44,2.30,16
24,AAF186,THF43,"w/ skin, raw",(TH),1,187,66.4,22.1,11.0,Op,0,0.8,,-,164,-,-,1.7,,-,-,-,-,0.08,0.11,2.10,-
25,,,,ata(PH.inuTH,,,,,,,,,,,,,,,,,,,,,,,
26,AAF97,,"Chicken, liver, raw",Gan ga(VN),,121,73.5,18.6,4.1,2.5,0,1.3,,13,243,63,213,7.3,0.48,0.5,11481,96,11489,0.32,2.49,8.90,14
27,AAF103,"VNF318,MYF364","carcass, raw",Thit ga(VN),,153,69.9,22.4,7.0,Op,0,0.9,,21,180,113,221,2.2,-,,,,,0.15,0.19,7.10,2
28,AAF104,"PHF107,THF19","Chicken,thighw skin,rw",,,198,69.1,17.7,14.1,Op,0,0.9,,12,113,98,133,0.9,0.07,0.8,10,,10,0.08,0.19,4.20,2
29,,"MYF367,PHF109",,Manok pakpak(PH.In,,,,,,,,,,,,,,,,,,,,,,,
30,AAF105,THF22,"Chicken, wing, w/ skin, raw",n.GU(TH),,223,66.9,17.6,17.0,Op,0,0.8,,27,128,82,177,1.0,0.06,1.4,28,0,28,0.03,0.14,3.40,2
31,AAF190,THF50,"Duck, blood, cooked",in.an iTH,,25,93.4,5.9,0.1,Op,0,0.7,1,14,41,161,8,13.7,,,,-,-,,0.04,0.10,
