,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,,,,,,,,,Main nutrients,,,,,,,Minerals,,,,,,,Vitamins,,,
1,,,,,DEN,(ENERC),WATER,PROCNT,FAT,(CHOCDF),FIBTG,ASH,CA,P,NA,K,FE,CU,ZN,RETOL,CARTB,VITA_RAE,THIA,RIBF,NIA,VITC
2,Food ID,Origin,Food and description,Alternate name,g/mL,kcal,g,g,9,g,g,g,mg,mg,mg,mg,mg,mg,mg,mcg,mcg,mcg,mg,mg,mg,mg
3,,,,,,,,,,,,4sh,,,,,te,,uzou,,,,ii,,,
4,F,"Meat, other animals and products (continued)","Meat, other animals and products (continued)",,,,,,,,,,,,,,,,,,,,,,,
5,AAF110,"VNF330,PHF120",Duckliverraw,rit(VN),-,125,73.4,16.4,4.7,4.2,0,1.3,33,192,,,13.5,,-,840,50,844,0.35,1.11,10.00,4
6,[AAF111,"VNF329,THF49","[Duck, meat raw",Vit(VN),-,233,64.9,15.6,19.0,Op,,0.7,14,134,-,-,1.8,,,,,,0.09,0.20,5.10,-
7,AF114,THF46,"Frog, small",TU(TH),-,80,78.4,15.1,2.0,0.4,0,4.1,1293,671,122,199,3.8,-,,,,,0.08,0.53,3.60,
8,AAF145,"MYF380,VNF275","Mutton, lean, raw",iru(VN),,146,71.7,20.4,7.2,Op,0,1.3,11,185,91,256,2.7,,,22,0,22,0.15,0.22,4.80,2
9,AAF148,THF54,packed in banana leaf,,,185,65.0,20.1,11.6,Op,0,3.5,15,132,,,1.3,,,-,-,,0.24,0.10,3.80,-
10,AAF194,THF81N,"Pork, blood, cooked","wy. ia, a(TH)",,49,89.0,12.1,0.1,Op,0,0.6,14,12,219,28,20.3,,0.3,16,-,,nd,0.10,0.30,
11,AAF120,"VNF292,PHF192","Pork, brain, raw",6c Ign(VN),-,125,79.5,9.6,9.5,0.2,,1.2,10,270,,,1.2,,-,-,,,0.18,0.35,2.60,0
12,AAF119,"PHF165,THF82","Pork, ham, raw",U(TH),,159,65.1,18.6,4.7,10.6,0,1.0,6,187,52,380,0.9,0.10,0.2,6,T,6,0.83,0.47,8.40,0
13,AAF121,"VNF297,PHF167,T","[Pork, heart, raw","21u(TH,Tim lIgn(VN)",-,114,76.2,16.8,4.5,1.5,0,1.0,5,160,140,130,3.8,0.50,0.1,6,5,6,0.32,1.00,4.90,2
14,AAF124,"VNF285,PHF171","[Pork, kidney, raw",gn(VN),,102,77.3,15.2,3.1,3.3,0,1.1,11,206,,-,6.2,-,-,40,10,41,0.32,1.58,9.00,10
15,AAF149,"PHF173,VNF281","Pork, leg, deboned, raw",gio Ign(bo xudng)(VN),,208,62.9,21.6,12.8,1.7,,1.0,32,131,,,0.9,,,5,10,6,0.34,0.28,3.80,2
16,AAF196,THF77,"[Pork liver, boiled",,,174,61.4,29.3,5.1,2.8,,1.4,11,240,46,130,5.0,6.10,3.7,25992,-,25992,0.23,3.07,7.90,2
17,AAF197,THF78,"Pork, liver, fried","My, u,nan(TH)",,268,47.0,33.2,13.0,4.6,0,2.2,8,370,120,350,14.7,9.20,2.3,30755,,30755,0.36,4.01,16.00,0
18,AAF126,HF76,,"u(TH), Gan Ion(VN)",,125,72.0,19.2,3.8,3.6,0,1.4,12,308,119,270,15.5,6.40,0.5,14513,20,14515,0.32,1.79,10.60,12
19,AAF130,,,"U(TH), Ph&i Ion(VN)",,98,80.4,13.6,4.7,0.4,0,0.9,29,174,,,4.8,,,20,,20,0.09,0.27,2.50,10
20,AAF187,/THF79,"Pork, pancreas, raw","Wy,Wueau, Au(TH)",,86,78.4,16.9,1.2,1.8,0,1.7,7,27,-,-,65.5,,,,,-,0.22,0.42,2.00,0
21,,,,Baboy tadyang(PH)wy,,,,,,,,,,,,,,,,,,,,,,
22,AAF150,,"Pork ribdeboned, raw","ilns. Au(TH), Suon (gn",-,210,63.7,17.1,13.8,4.4,0,1.0,31,134,100,240,1.1,0.10,1.5,4,20,6,0.65,0.14,4.20,1
23,,,,(bo xuang)(VN),,,,,13.8,,0,,31,134,,,,,,,20,,0.65,,,
24,AAF158,THF95,"Pork, shoulder, raw",wy Ra Uu(TH),-,189,69.3,18.4,12.8,Op,0,1.0,3,170,45,330,0.9,0.10,0.4,4,,4,1.00,0.48,4.20,0
25,AF152,THF97,"Pork,shoulder broied","My. na, th(TH)",,284,44.5,35.9,14.0,3.6,0,2.0,8,340,150,610,1.4,0.20,1.5,0,-,,0.68,0.42,5.60,0
26,AAF202,THF96,"[Pork, shoulder, fried","y. Ra, nan(TH)",,296,44.3,35.0,16.3,2.4,0,2.0,4,320,120,620,1.2,0.10,1.7,,,,0.78,0.41,5.00,0
27,AAF159,"PHF242,THF47","Pork, skin, fried",Uwy. tislwa(TH),,625,1.2,52.7,46.0,Op,,0.6,31,54,,,2.4,,-,59,T,59,0.03,0.09,1.60,0
28,AF204,THF88,"Pork, tenderloin, raw","wy aM1x, Ru(TH)",,116,74.5,21.8,3.2,Op,0,1.3,4,237,97,381,1.0,0.10,1.0,,,,1.35,0.34,4.50,0
29,AAF164,"VNF309,MYF382","[Rabit,whole carcass,raw",nha(VN),-,126,72.1,21.7,3.8,1.2,0,1.2,16,213,.53,403,1.3,,-,30,0,30,0.07,0.07,7.00,3
