,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,,,,,,,,,Main nutrients,,,,,,,Minerals,,,,,,,Vitamins,,,
1,,,,,DEN,(ENERC),WATER,PROCNT,FAT,(CHOCDF),FIBTG,ASH,CA,P,NA,,FE,CU,ZN,RETOL,CARTB,VITA_RAE,THIA,RIBF,NIA,VITC
2,ASEAN,Origin,Food and description,Alternate name,g/mL,kcal,g,g,g,,g,g,mg,mg,mg,mg,mg,mg,mg,mcg,mcg,mcg,mg,mg,mg,mg
3,Food ID,Origin,Food and description,Alternate name,,,,,,,,,,,mg,,,,,,,mcg,,,,mg
4,,,,,,,ow,,,,,,,,,,,,,,,,,,,
5,D,,Vegetables and products (continued),,,,,,,,,,,,,,,,,,,,,,,
6,AAD76,"THD59,MYD179,","Loofah, angled","la segiMY),Patola",,21,94.0,0.8,0.3,3.0,1.4,0.5,19,16,25,119,0.7,0.05,0.1,0,18,2,0.05,0.04,0.40,6
7,AAD76,PHD219,"Loofah, angled",bngaHTH),,21,94.0,0.8,0.3,3.0,1.4,0.5,19,16,25,119,0.7,0.05,0.1,0,18,2,0.05,0.04,0.40,6
8,AAD80,"THD39,MYD185","Mung bean,sprout,raw","ianTH,Gia dau",-,41,88.2,4.3,0.2,4.1,2.6,0.6,29,73,13,106,1.4,0.13,0.5,0,28,2,0.11,0.14,0.80,23
9,AAD81,THD40,,nssilau(TH),-,23,92.5,1.5,0.1,3.0,1.9,1.0,33,-,313,,0.3,,-,0,-,,,-,-,2
10,AAD82,THD175,"Mushroom, abalone, raw",inihEa(TH),,(45),88.6,2.6,0.9,(6.7),,1.2,7,85,45,487,1.3,0.04,0.1,0,,,0.07,0.27,2.80,8
11,AAD84,THD167,brine. drained,,,31,90.2,4.0,0.5,1.1,3.2,1.0,16,42,394,27,0.8,0.33,3.4,0,-,-,-,-,-,4
12,AAD83,THD165,"champignon, raw",,,(33),90.5,4.7,0.2,(3.2),-,1.4,9,139,8,528,5.7,0.38,0.2,0,,,,-,5.50,4
13,AAD85,"MYD186,THD182",,lwaW(TH),,(333),13.2,16.0,1.0,(64.9),,4.9,22,345,31,2103,3.6,0.75,6.6,0,0,0,0.07,1.50,12.30,9
14,AAD118,THD181,,,,(32),91.6,2.2,0.1,(5.5),-,0.6,6,46,7,237,1.1,0.08,0.1,,-,,,1.03,3.20,
15,AAD88,THD177,"iresh,raw",Mavh(TH),,31,90.8,3.0,.0.2,3.6,1.4,1.0,6,101,21,317,1.0,0.38,0.3,0,,,0.09,0.32,6.40,9
16,AAD87,"MYD187,THD174",,"iegar(MY},iim5(TH)",,(40),89.9,3.2,0.5,(5.7),,0.7,4,78,22,214,1.5,0.06,0.2,0,,,0.04,0.31,3.90,10
17,AAD69,"MYD171,PHD277","wood ear,dried, raw","K5(TH),Mgc nh(VN)",,243,11.4,8.3,0.3,27.6,48.4,4.0,223,209,181,756,20.1,0.30,5.7,0,11,1,0.07,0.62,2.80,2
18,AAD70,THD183,"wood ear, fresh, raw",inywy a(TH),-,23,89.8,0.8,0.1,0.7,8.2,0.4,23,15,28,54,0.5,0.03,0.1,0,-,-,0.01,0.14,0.20,1
19,AAD138,"VND97,MYD189",and stem),Kai-coy(MY).Cai sen(VN),-,18,94.3,1.7,0.4,1.0,1.8,0.8,68,17,,319,1.5,-,,0,1492,124,0.07,0.17,0.50,63
20,,,"Mustard, Chinese, leaf.",bur(H)inl,,,,,,,,,,,,,,,,,,,,,,
21,AAD89,THD76,pickled,"(TH), Dua ci",-,(21),91.5,1.5,0.2,(3.40),,3.4,79,248,-,-,5.7,-,-,0,966,81,0.02,0.03,0.40,20
22,AAD90,,"Mustard, leaf, raw","hon(PH),",-,(28),92.5,2.2,0.5,(3.7),-,1.1,152,49,11,426,2.5,-,-,0,1901,158,0.06,0.16,0.90,80
23,AAD91,THD143,"Neem, leaf and tip.","elm, luunan(TH)",,78,73.3,5.6,0.4,7.3,11.6,1.8,162,70,12,331,2.7,0.14,0.4,0,4810,401,0.06,0.11,2.50,92
24,AAD73,"MYD176,THD2","pod,raw",nnTH),,(31),91.9,1.6,0.2,(5.6),,0.7,44,17,26,68,1.3,,,0,171,14,0.08,0.12,1.20,17
25,AAD94,THD31,"Onion, flower","waN, Nan(TH)",,(23),94.0,1.2,0.1,(4.2),,0.5,23,25,-,-,0.6,,,0,378,32,0.04,0.10,0.20,19
26,AAD96,"PHD147,MYD221",Onionspring fresh rw,SibuyamuraPH),,39,89.2,2.2,0.7,4.6,2.6,0.7,55,39,16,137,2.3,,,0,2848,237,0.06,0.09,0.30,42
27,AAD97,"PHD154,THD134","Papaya, unripe, raw",THDu u,,24,92.6,0.8,0.1,4.0,2.0,0.5,47,32,21,203,0.6,0.01,0.0,,0,0,0.04,0.03,0.30,29
28,AAD97,VND116,"Papaya, unripe, raw",xanh(VN),-,24,92.6,0.8,0.1,4.0,2.0,0.5,47,32,21,203,0.6,0.01,0.0,,0,0,0.04,0.03,0.30,29
29,AAD103.,"THD144, MYD203","Parkia, seed,raw",PeaiMYTH,-,124,69.9,9.0,2.9,14.2,2.7,1.3,101,43,47,376,2.1,,,0,151,13,0.13,0.11,0.80,28
30,AAD99,,"Parsley, leaf, raw",,,33,88.5,3.0,0.9,1.0,4.7,1.9,216,51,13,804,6.0,-,,0,2100,175,0.13,0.21,0.50,106
