,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,,,,,,,,,Main nutrients,,,,,,,Minerals,,,,,,,Vitamins,,,
1,,,,,DEN,(ENERC,WATERPROCNT,WATERPROCNT,FAT,CHOCDF),FIBTG,ASH,CA,P,NA,K,FE,CU,ZN,RETOL,CARTB,VITA_RAE,THIA,RIBF,NIA,VITC
2,Food ID,Origin,Food and description,Alternate name,g/mL,kcal,g,g,g,g,g,g,mg,mg,mg,mg,mg,mg,mg,mcg,mcg,mcg,mg,mg,mg,mg
3,,,,,,,,,,,,,,,Na,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,Fe,,uz,,,,1,,,
5,,,,,,,,,,,,4sh,,,,,,,,,,,1,,,
6,E,Fruits and products (continued),Fruits and products (continued),,,,,,,,,,,,,,,,,,,,,,,
7,AAE43,THESO,"Gooseberry,Indian",NenileN(TH),,(70),82.2,0.4,0.1,(16.9),,0.4,18,4,,,0.5,,,0,,,0.02,0.00,0.80,243
8,,"THE130,THE131,V",,"Buah anggur(MY), aju",,,,,,,,,,,,,,,,,,,,,,
9,AAE38,"NE238,MYE265","Grape, assorted",(nho chua)(VN),,53,85.9,0.6,0.1,11.8,1.1,0.5,20,21,11,136,0.8,0.20,0.1,0,21,2,0.04,0.04,0.20,5
10,,"PHE032,VNE240",,Jambu batu(MY).,,,,,,,,,,,,,,,,,,,,,,
11,AAE41,"THE39,MYE267","Guava, white flesh","TH), 6i(VN)",-,55,83.8,0.9,0.2,10.1,4.4,0.6,21,19,19,97,0.9,0.04,0.5,0,50,4,0.07,0.06,1.20,141
12,,"PHE033,THE10,",,Nangka(MY).,,,,,,,,,,,,,,,,,,,,,,
13,AAE44,"VNE227,MYE272",Jackfruit fresh,"Langka(PH.u(TH},Mit",,(84),78.2,1.3,0.4,(18.7),-,1.4,28,25,46,362,1.0,-,-,0,108,9,0.08,0.07,0.70,
14,,"VNE227,MYE272",,dai(VN),,,,,,,,,,,,,,,,,,,,,,
15,AAE47,THE11,"Jackfruit in syrup, canned",nsilaN(TH),,100,75.3,0.7,1.0,21.7,0.9,0.4,11,,12,,0.2,,-,0,-,,,,-,-
16,AAE49,THE43,Jujube,"ia(TH), Tao ta(VN)",,50,86.1,0.9,0.1,10.2,2.2,0.5,34,42,,-,0.5,-,,0,65,5,0.02,0.28,0.90,29
17,AAESO,THE9O,LancetLangsium/Langsat,R1sahA(TH),,(67),82.9,0.9,0.1,(15.6),-,0.5,5,35,,,0.7,0.09,0.2,0,-,,0.08,0.04,1.70,24
18,[AAE51,"PHE040,MYE280",[Lemon,"kerbau(MY), Limon(PH)",,"""(31)",92.2,0.6,0.3,(6.5),,0.4,21,6,17,175,0.3,,,0,0,0,0.05,0.03,0.20.,32
19,AAE9O,"PHE023,VNE205","Lemon, Philippine",,,(48),88.8,0.7,(1.0),(9.0),-,0.5,29,17,3,457,0.7,,,0,0,0,0.03,0.01,0.20,43
20,AAE53,"NE247,MYE285",[Litchi,THVai(N),,(70),82.4,1.0,0.4,(15.7),-,0.5,6,31,5,157,0.4,0.07,0.2,0,0,0,0.02,0.08,0.80,24
21,AAE54,THE103,"Lichi, n syrup, canned",nstilan(TH),,95,77.0,0.4,1.0,20.9,0.5,0.2,9,-,14,,0.2,-,-,0,-,-,0.03,0.03,-,4
22,AAE5T,THE99,"Longan, dried",,,(319),17.8,4.6,0.4,(74.3),-,2.9,28,-,,2012,,,,0,,,:,-,,-
23,AAES5,"MYE296,VNE235","Longan,fresh","(TH), Nhan(VN)",,71,81.3,1.0,0.2,15.8,0.9,0.8,15,23,9,216,0.4,0.22,0.4,0,0,0,0.08,0.09,0.50,52
24,AAES6,THE93,"Longan, in syrup, canned",nilan(TH),,94,77.5,0.3,1.1,20.5,0.3,0.3,10,-,6,-,0.2,-,-,0,,,0.02,0.03,,20
25,AAE59,"PHE047,THE26","Malay apple, red",TH),,(42),89.4,0.5,0.2,(9.5),,0.4,14,17,,172,0.7,-,-,0,,,0.02,0.04,0.40,14
26,,,,.imau Cina(MY).,,,,,,,,,,,,,,,,,,,,,,
27,AAE60,YE302,,"KTH, Quat chin",,42,88.7,1.0,0.3,8.1,1.5,0.4,57,27,18,122,0.3,0.07,0.1,0,136,11,0.07,0.05,0.30,22
28,,,,(ca v2)(VN),,,,,,,,,,,,,,,,,,,,,,
29,AAE132,THE63,"variety, unripe",NH,,79,78.6,0.8,0.2,17.2,2.7,0.5,6,15,3,142,0.2,0.06,0.1,0,192,16,0.07,0.02,0.50,29
30,AAE65,"PHE049,IDE70","Mango, Indian mango, unripe",hilaw(PH),,49,86.7,0.5,0.0,11.0,1.6,0.2,6,12,3,140,0.6,0.10,0.0,0,261,22,0.03,0.03,0.20,37
31,AAE72,THE61,"mature,unripe",NH),,75,79.6,0.6,0.2,16.2,3.0,0.4,13,9,3,126,0.6,0.06,,0,,,0.06,0.04,0.40,39
32,AAE67,THE69,,,,78,79.6,0.9,0.2,17.5,1.2,0.6,6,16,3,144,0.3,0.10,0.1,0,897,75,0.11,0.06,1.80,5
33,AAE68,THE74,variety.ripe,NnTH,,85,78.7,0.5,0.2,(20.2),,0.4,25,15,,,0.3,,,,-,,0.07,0.07,0.80,34
34,/AAE69,/THE75,"Mango, okrong variety, ripe",Neinn(TH),,79,79.3,0.8,0.2,17.9,1.3,0.5,17,17,44,191,0.4,0.06,0.1,0,144,12,0.05,0.07,1.90,10
