,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,,,,,,,,,Main nutrients,,,,,,,Minerals,,,,,,,Vitamins,,,
1,,,,,DEN,(ENERC),WATER,PROCNT,FAT,CHOCDF,FIBTG,ASH,CA,P,NA,K,FE,CU,ZN,RETOL,CARTB,VITA_RAE,THIA,RIBF,NIA,VITC
2,ASEAN,Origin,Food and description,Alternate name,g/mL,kcal,g,g,9,g,,,mg,mg,mg,mg,mg,mg,mg,mcg,mcg,mcg,mg,mg,mg,mg
3,Food ID,Origin,Food and description,Alternate name,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,Na,,,,,,,,,,,
5,,,,,,,,,,,,4sh,,,,,Fe,,uz'ou,Reroor,,,,,,
6,E,Fruits and products (continued),Fruits and products (continued),,,,,,,,,,,,,,,,,,,,,,,
7,AAE102,THE20,"Rambutan, in syrup, canned",nsvilaN(TH),,107,75.1,0.3,1.9,21.6,1.0,0.1,19,,10,,0.2,,,0,Op,Op,,,,8
8,AAE103,"THE24,MYE329",Roseapple,"TH,GVN",,(27),93.2,0.6,0.1,(5.9),,0.2,9,9,2,81,0.3,,,0,4,0,0.03,0.02,0.20,21
9,AAE133,THE84,Salak palm,rin(TH),,(60),84.5,0.5,0.1,(14.3),,0.6,8,18,,,0.4,,,0,,,,0.20,,6
10,AAE106,,"Sapodil, ripe","nnTH),Hng xiemVN)",,69,79.1,0.5,0.7,11.1,8.1,0.5,30,12,22,94,1.2,0.03,0.1,0,95,8,0.02,0.03,1.20,14
11,AAE109,"PHE083,MYE326",Soursop,Guyabano(PH),,(72),82.0,1.2,0.4,(15.8),,0.6,14,22,2,294,0.6,,,0,8,1,0.09,0.08,0.70,27
12,AAE111,"PHE084,THE45",Spanish plum,[(TH),-,(88),77.3,0.8,0.2,(20.8),-,0.9,68,39.,,-,1.0,,-,0,184,15,0.07,0.13,0.90,30
13,AAE112,"PHE085,VNE249","Star apple, green",[sua(VN),,60,84.6,0.9,(1.1),10.2,2.6,0.6,43,23,,,0.4,-,,,4,0,0.02,0.02,0.70,
14,A114,THE78,Star gooseberry,EN(TH),,(34),91.7,0.7,0.7,(6.3),,0.6,,23,-,,0.4,,,,5,0,0.01,0.05,,40
15,AAE115,MYE327,Strawbery,ay(VN),,26,92.4,0.8,0.2,4.3,1.9,0.4,21,16,3,66,0.8,,,,23,2,0.02,0.02,0.20,59
16,AAE116,"VNE234,MYE257",Sugar apple,"wiTH),NaVN)",,86,77.2,1.6,0.3,18.0,2.2,0.7,29,43,4,250,0.7,-,-,0,39,3,0.09,0.13,0.70,26
17,,"PHE093,THES2,",,Buah Asam Jawa(MY),,,,,,,,,,,,,,,,,,,,,,
18,AAE120,MYE328,"Tamarind, fruit ripe","Sampalok, hinog(PH).",,(303),22.3,2.8,0.5,(71.8),-,2.6,135,9,10,158,0.9,,,0,10,1,0.29,0.05,0.80,
19,AAE58,"PHE046,THE49","Tamarind, Madras thorm",(TH),,85,77.8,3.4,1.0,13.8,3.4,0.6,33,,,,0.5,,,,15,1,0.21,0.43,"1,10",94
20,AAE119,THE107,"Toddy palm, cotyledon",nalul.ussg,,(116),69.8,2.4,0.1,(26.3),,1.4,12,112,,,0.8,,,,,,0.23,0.04,,7
21,AAE118,THE108,"Toddy palm, in syrup, canned",ns+ilas(TH),-,93,76.8,0.2,0.5,21.2,1.2,0.1,5,,11,,0.0,-,-,0,Op,Op,-,,,
22,AAE142,THE127,Water chestnut,W(TH),-,(91),75.9,1.2,0.1,(21.3),+,1.5,8,64,261,548,1.0,,-,,-,,0.05,0.03,2.30,7
23,AAE124,THE25,color)variety,NjU^A(TH),-,(27),93.2,0.3,0.0,(6.4),-,0.1,4,12,,-,0.5,-,-,,-,-,0.01,0.02,0.10,25
24,,,,"Tembikai(MY),",,,,,,,,,,,,,,,,,,,,,,
25,AAE126,"VNE212,MYE330",Watermelon,Dua hau(VN),,24,93.6,0.6,0.1,5.1,0.3,0.3,8,13,6,76,0.2,0.03,0.1,0,255,21,0.03,0.04,0.20,6
26,AAE125,THE23,,3aj1T(TH),,30,92.0,0.5,0.1,6.1,1.1,0.2,5,15,66,107,0.7,,,0,-,-,0.03,0.03,0.40,13
