,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,,6w,00'0,0,0,00'0,0,,00,,,0,0,0,0,00,0,,,00
1,VIN,6w,,,,,,,,,0,,0,2,,,,,,
2,RFFF,6w,0,0,0,0,,0,0,0,0,,,,0,0,,0,0,0
3,TIHA,6w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00
4,vTTC,6w,:,00,00,00,3,:,00,:,00,,10,00,:,00,00,,00,00
5,VTTE,6rl,,0,,2,0,,0,,0,,0,,00,,,0,0,0
6,,6rl,,0'0,0,0,00,0,0'0,,,,00,,00,00,,0,00,00
7,,3L 6 r,2002,,0,0,0,0,0,0,0,,,0,0,0,380,,0,0
8,,,,,00,0,0,,0'0,0,,,,0,0,,380,1.16,00,
9,,,224,373,272,232,325,323,,305,909,202,307,,809,609,214,,,577
