,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,PAAT,,,,,,,2,,0,,2,:,,,0,0,,
1,,6,0,0,00,0,0'0,00,0,,0,00,:,0,0,:,,0,0
2,,6,,3.00,300,380,380,,,,1.10,110,,340,140,,,1.10,30
3,Y0FF6,6w,0,0,,,0,0,,,0,0,0,0,0,,0,0,0
4,NIA,bw,90,,,,02,10,:,,,,0,04,:,0,0,04,2
5,RIRF,bw,0,0,,0,00,00,:,,00,00,:,:,0,0,00,00,00
6,TIHA,bw,0,0,,0'0,0'0,0'0,00,,0,0,:,:,0,0,0,0,0'0
7,yTTC,6w,,,,,,20,0'9,,110,,96,210,226,30,,,
8,VTTE YTTE,6rl,,0,0,,,,,0,,0,,,,,,02,00
9,VTTE YTTE,6l,0,0,0,0,0,0,0,:,,0,,0,0,,0,0,0'0
10,ATTTA,,00,00,00,00,0'0,00,00,00,00,:,:,,00,,0,00,0
11,VTTA,,1.00,08,08,,,640,,10,20,30,50,1.10,00,10,50,340,280
12,,,,,,,,,Peeehr,,,,,,,,,,
13,,,3,8,4,5,6,7,,8,,9,,8,2,2,3,,3
