,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,,bw,0,,,,,0,0,0,,00,00,0,9'0,,,,0,
1,,6rl,00,0,00,0,0,0,0,0,0,,,0'0,00,00,00,,,00
2,,6l,,810,220,180,140,0,,,868,,100,,440,140,1.10,,,140
3,,6w,0,,,0,0,2,2,,,,0,,0,,0,0,,0
4,VIA,bw,,,0,,60,,90,0,,0,,0,,,0,2,,
5,,bw,00,0,0,,0,0,0,0,,0,0,0,0,0,0,,,0
6,VIHA,6w,0'0,0,0,0,0,0,,0,04,0,0,0,0,0,,0'0,0'0,00
7,,6w,46,1.10,,2.000,240,112,20,06,,09,,09,,,,,110,217
8,,6l,0.2,,,,00,00,,,00,,00,,00,00,,,,
9,,6l,00,0,00,0,00,0,0,0,0'0,0,00,:,0'0,00,0'0,00,0'0,00
10,,3L 6 r,0,0,0,0,0,0,0,0,0,0,0,:,0,0,,,0,0
11,VTTA,3P 6 r,,2,,0,0,,,,,,,,3.70,1.10,10,2,1190,380
12,,,,,,,,,,,,Crppe,,,,,,,,
13,,,,,2,3,,,3,,,4,,5,,,8,0,1,2
