,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,,bw,0,02,04,,,04,,0,,00,00,,,,,,2,0
1,,6l,00,00,0'0,0,00,00,0,00,00,0,0,00,00,00,00,,00,00
2,,6l,,117,869,,,008,118,,2.04,217,,,,447,447,172,,110
3,Y1FF6,6w,0,0,,,,,0,,0,0,0,2,,,2,0,0,0
4,NIA,6w,,,0,,90,,,,0,,,,,,4,,2,
5,RIRF,bw,00,0'0,0,,,0,:,0,00,0,0,0,0,0,0,0,0,0
6,TIHA,6w,:,0,0,0,0,0,0,0,00,0,0,,2,2,2,0,0,0
7,yTTC,6w,1.18,115,214,,117,88,,211,107,8'8,,144,,105,106,,120,
8,,6,0,0'0,0'0,2,0,,,2,,0,,00,00,,0.2,2222,,02
9,,6rl,00,0,0,00,:,00,00,00,00,0,0,0,,0,00,404,00,0
10,,3P 6 r,,0,0,,0,0,:,:,:,0,0,0,0,0,0,0,,0
11,VTTA,,,180,,,,,442,,,1.100,,,,,,,2022,2127
12,,,,,,,,2,,,,,,,,,,8,,13
