,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,SIH,6w,1.07,240,,,,,117,222,,2112,,250,,1110,,,410,212
1,ARC,6w,116,,,,,,,2110,2110,,1157,410,,,2110,,,
2,TAL,6w,117,,,,,115,,,2.110,,,410,,2860,2110,,110,
3,TFR,6w,115,220,2007,717,1007,,,1112,1.160,,9'66,330,1116,,1167,2860,,350
4,3HE,6w,115,384,,222,116,,,,2000,,,400,,2110,2610,,040,
5,CxS,6w,67,144,1.07,,,,,,0'08,13,,110,,0'99,,0'99,260,
6,MET,6w,,1.10,,968,644,,117,,2.10,,,110,,,006,845,,
7,LXS,6w,110,216,,,,,,1227,1450,,112,220,1160,1000,,1000,410,2.15
8,LEU,6w,,096,,,,,,,20000,,,1000,,0989,1000,0989,1110,
9,37E,6w,,280,,,115,,,1008,1610,,,210,,1.110,,1190,,
10,THR,6w,117,,2114,180,,480,,,1110,,1103,350,2.600,1110,,1110,310,
11,,6w,,,,,,,,220,460,,,110,,,909,,220,117
12,,,380,224,,224,,,,321,,240,2,,,,,,,2422
