,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,,,0,0,0,,,0,,0,,0,2,,0,,,,0,
1,CU,6w,,0,0,2,,0,,0,,0,,,0,,0,0,0,
2,,bw,0,0,0,0,,0,3,,,0,0,,0,2,,,0,0
3,MPRPPE,6w,00,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0'0
4,,6w,0,0,0,,,0,,,,0,100,,0,,,,0,
5,,6w,,,,00,110,40,300,,50,00,3.000,5.50,00,170,,,0,00
6,,6w,2.50,250,210,0699,,10,,1120,099,00,3.0060,,00,,,220,00,30000
7,M6,bw,09,,,240,1150,10,1210,64,,00,4400,,00,210,170,2,0,110
8,P,6w,120,120,120,440,1220,120,2490,175,480,00,3.000,,00,1440,380,40,00,110
9,,6w,50,,50,440,220,80,,69,1120,00,3.000,0'06,310,1110,330,09,00,1.10
10,,,,,,,,,,,,,,Ceeeet,,,,,,
11,,,,,,,,,,,,,2,09t,,,06t,,,
