,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
0,10,Arrrvre,220,,150,,175,,,,440,,220,,,,,,09,,,,10,,,230,
1,,,,09,,273,,100,160,550,,,,,,,,2,,,2,100,,100,400,,
2,5,,,,,,,,,,,,,,,,,,,,,,,,,,
3,sn,tppp,,,,,,,,,,,,,,,,,,,,,,,,,
4,,paaae,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,110,,,,,,,,,,,
6,3,aup,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,200,,220,,,,,,,,,,,,,200
8,,bout,,,,,,,,,,,,,,,,,,,,,,,,,
9,Siie,,,,,,,S,W,,,,A,,A,,,pid,,S,,,,S,,A,pid
10,Naae,,,,,,,Ppeepppre,,,,,,,,,,,,,,,,,,,
11,Naae,,,,,,,,,,,,,,,,,,,,,,,,,,
12,podd,Cooe,116,,,,,,,175,176,,,2,127,2,2,,,124,,2,124,,,13,126
