,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,Ash,,,,20,8,,7,,2,,,,40,55,,80,80,5
1,,,,,,,,,?,?,,,9,,,,,,
2,,,,,,,,,3,3,,,2,,,,,,
3,,nor,,,0,,,,,,,,,,,000,000,000,
4,,,,8'0,,,,,,,,,,,,,,,6
5,,,,8'0,,,,,,,,,,,,,,4,
6,,,,210,210,,,7,,,330,,340,,550,,,,
7,,,,0,,,,44,,110,2,,,2,2,,,0,
8,,,,2,,8,,,,,,5,,,5,,,,
9,,,bu,,,,,,,,,,,,,,,,
10,,,,,,,95,,,,10,,,,,,,100,
11,,,,,,,90,,,,2,,,,,,13,110,
12,,,,,,,10,,,,,,,,,04,,40,
13,,,,,,,,,,,,,,,,,,30,
14,,,0,02,0'0,04,15,0.2,10,21,1'4,90,2,60,,17,14,110,44
15,,fetm,,,24,82,220,2i,230,220,230,,2.50,240,240,220,220,240,210
16,keat,,,170,370,105,320,35,305,326,220,38,325,220,270,300,370,405,2380
17,,,,,1185,,1410,145,1220,1220,1330,115,1180,,105,1120,,1170,1880
18,,ture,,,,,2,,,0,,,,,,,,,
19,,,,,,,8,8,D,,,1,,,,,,,
