,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,,,6w,804,804,804,,,33103,33103,33103,33103,33103,,,,,,
1,,,Bw,3,2,,2,10,18,20,80,80,,10,28,28,,,28
2,,,6r,,,,,,,,,,,,,,,,
3,5,,6w,110,020,020,020,,020,,,,,,000,000,,,000
4,3,,,800,110,012,600,000,800,012,111,110,01.2,02.2,00.3,003,,600,800
5,,,,110,,082,00.2,014,,,,022,00.0,010,022,110,,,
6,,orrrr,6n,,,,,,,,,,,,,,,,
7,,,,0,,,,,,,,,0,,,,,,
8,,,6H,290,,,,,140,,,,,,00,00,2,2,0
9,,to1,6H,DOOOO,DOOOO,DOOOO,DOOOO,DOOOO,,,,,,10000,10000,10000,10000,10000,00
10,,,6w,255,255,255,,2,5,,,,,,625,625,625,,52
11,?,,6w,250,250,250,,200,,,260,,,,170,100,220,,440
12,,,6w,440,220,220,270,100,220,,245,,283,,,,380,240,210
13,,,bw,15,,,30,17,42,,170,540,210,390,17,17,110,100,
14,,,6w,8,6,3,2,6,,12,393,,2,,9,9,2,,
