,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,,,,04,7,8,28,35,2.,32,,,,10,16,,60,:,,
1,,nor,,,0,0,,,,,,00,00,0,,,,,,
2,,,,0.2,,60,14,0.2,10,,,,17,,90,,2,10,10,60
3,,,,010,470,470,,,,,,230,069,250,170,,210,250,,88
4,,,,50,40,30,,,,,,50,110,20,10,,30,30,20,
5,,,,,,,,,2,2,,,,,,,,,,
6,,,,,,1,,,,,,,,,,0,,,,
7,,,,05,10,10,,,,,,,,,,,,00,00,
8,,,,,,02,,,,,,,,,,,,,,
9,,,,0.2,0.2,0.2,,,,,,,,,,,,,,
10,,,,,2,,0.2,60,0,,,,,,0,,2,,,00
11,,feem,,100,7,17,20,47,,,5,2,,,17,,16,,8,10
12,,feem,,100,7,17,20,47,,,5,,,,17,,16,,,10
13,Keat,,,,240,235,370,155,110,110,66,140,220,130,1,,170,110,,
14,,,,1985,1005,,1415,645,465,465,475,,1280,,378,,460,460,385,16
15,,ture,%,,,,4,,2,,,,,,,,,,,
16,,,,,0,,,,,,,,,,,,,,,
