,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,ARC,6w,100,210,,,1410,00,1.110,00,00,00,00,00,00,00
1,VAL,bw,110,570,2210,2000,,00,440,0,0,0,00,00,0,00
2,TPR,bw,140,410,1120,1.000,310,00,220,0,0,0,0,0,0,0'0
3,PHE,bw,140,470,140,1110,510,00,370,0,0,0,00,00,0,00
4,CrS,6w,20,08,110,0'99,220,00,140,0,00,00,00,00,00,00
5,MET,6w,20,210,089,,110,00,110,0,0,0,0,0,0,0
6,LXS,6w,220,,1.010,1210,440,00,220,,0,0,00,:,0,0'0
7,LEU,bw,210,880,2.990,2110,240,00,,0,,0,,0,0,0'0
8,37E,bw,170,510,1210,1210,,00,220,0,0,0,00,0,0,00
9,THR,bw,180,380,1220,1210,310,00,250,0,0,0,00,00,0,00
10,,bw,40,120,,280,120,00,08,0,0,0,0,0,0,00
11,,,1002,1101,1103,1774,1004,1103,,7107,1008,1008,1770,1777,1712,1773
