,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,,,,00,22,22,2,,3,,,34,20,3,90,90,,,,60
1,,Jor,,,,,,,,,,,,,,,,,,
2,,,,80,15,20,16,90,,,44,,61,90,04,04,24,21,22,80
3,,,,220,,,220,240,,,,,,,008,008,089,210,069,220
4,,,,20,,50,,30,,,,,,,,,40,,,20
5,,,0,,,,,,,,,,,,,,,,,
6,,,,,ODOO,ODOO,ODOO,ODOO,00000,00000,00000,00000,00000,,,,,,00,00
7,,,,,88,88,2,,,,,,,,,,,,60,60
8,,,,,2223,2223,2223,,,,,,6,,,,,,60,60
9,,,5,10,,,,,,,9,9,9,,,,,,,
10,,,0,00000,00000,00000,00000,00000,,,,,,1t00,1t00,1t00,1t00,1,02,02
11,,,,2,,,,,,,,,,35,90,,,,,20
12,,,,50,,00,08,08,,100,14,56,1.10,69,,10,110,,120,110
13,keat,,,115,348,355,398,,340,345,,220,340,335,335,,345,335,380,340
14,,,,,1445,1460,1215,,1440,1445,1220,1220,1220,,1980,1980,1425,1710,1380,1225
15,,ture,,,2,,7,2,2,2,,,2,,2,2,,,2,2
16,,,,,,,,0,,,,,,,,050,050,050,00,00
