,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,SIH,bw,,,,,,,,1.17,9'88,,2890,,1.166,,288,2272,3220,,5000,0008,,,1096,196,,,,
1,ARC,bw,,,,,,11000,,,1447,11110,,1047,,,1224,,10100,,11100,10000,1120,,,,,,,
2,TAL,bw,,6909,,11227,6117,12000,,,,8.110,1110,,,13,,,,,11100,10010,,1410,,,,1116,,
3,TRR,bw,2440,,986,,,0698,6617,,,0'809,,,1.176,,,4114,8899,188,10000,10000,090,,,,212,,1120,
4,PHE,bw,,,,,,11000,,212,,,0899,,2.600,3.000,110,,,1005,00000,1.4000,,6110,,,926,,1116,21000
5,CXS,6w,,,410,,1146,8210,,,,2250,2290,,,098,176,1210,,,3000,5000,580,1170,,,1218,,,
6,MET,bw,2964,3171,999,6447,,1110,,1584,07,2020,,,,,173,,,,5000,1000,320,4020,,,,,1110,
7,LXS,bw,,,,,,21170,10006,,,,0000,,,,,,,2112,1.100,2.0000,006,,,,,,1115,
8,LEU,2,9408,,,,,1190,,,,,11000,100003,,,1222,,14114,,10000,2'0000,2000,,,,11004,1127,30000,
9,,bw,,,1.166,,,,1.1000,,1.000,4440,0'989,,,,,2174,,1144,0'006,1.2200,1000,1.100,,,,069,1170,21210
10,THR,bw,,,,,,011110100,,908,28980,1170,,,,,,,,,0.0000.000,1.00000.000,,0'989,,,,,,
11,TPP,6w,1116,1117,,,,011110100,,116,117,0110,,,,688,1220,1140,,127,0.0000.000,1.00000.000,,,989,,,,,
12,,,,278,,,,,,,,,,,,,,,%,,,,,272,,,,868,,
