,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,,,,,00,,0,,0,,00,04,60,,,,,0,0
1,3,bw,,:,,0,:,,04,,0,0,2,0,60,,00,0,0
2,,bw,,,,,,2,0,,2,,80,2,,0,0,0,0
3,MPPPE,bw,0'0,:,:,:,:,,,,,,:,:,:,:,:,:,0
4,,bw,,,,,2,,0,,2,:,,,,,,,
5,,bw,145,:,,90,40,,1.50,260,10,,1.00,1.06,2110,240,08,06,06
6,Y,bw,212,,,2000,,2110,1110,2000,2.110,,,2112,,2.000,,,2220
7,,bw,,0,,,1.00,,1.10,,40,,028,,010,220,08,110,110
8,,,,200,0'98,,260,1110,110,220,100,111,0'99,410,,240,110,240,240
9,,bw,,110,,010,220,210,,,,040,,,370,1220,3.10,,
10,,,,,,6,,,,2,,2,2,,,,,2,3
