,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,NW,6w,,0,,0,0,,0,,0,,,0,0,0,0,,0,0,0,0,0,0,
1,3,6w,,0,146,0,,,,,,,5,,,,,5,,,,,,,
2,,,,2,,,,,,,,,2,,,,,2,3,,,,,2,
3,,bw,,,2,,,,,0,0,,3,3,5,,,,3,,4,,,,3
4,,,,,,,,,,,2,,3,,,,,,3,,4,,,,3
5,,,0'69,890,,,310,510,570,2110,1210,2120,,380,0'88,350,5.50,3110,400,1220,2220,,,440,
6,,6w,3110,2300,3110,,1190,1400,1220,,1120,,,1220,1210,4110,4110,,,4110,1000,2400,2000,2.110,8110
7,,6w,110,110,230,230,140,210,140,250,1.00,1210,,210,170,098,098,1440,220,110,1120,230,230,170,110
8,,6w,,1220,,1490,1.110,3120,1110,3300,1120,,10000,069,1120,,,10000,,2330,,1410,,1610,1410
9,,bw,5'0,,0'9,,30,140,06,0'96,530,,1.1100,,110,,480,1100,06,240,410,40,40,180,320
10,,,205,,,,,208,208,308,307,808,3008,220,370,371,272,378,274,378,,376,278,377,
