,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,10,,30,,,300,300,,,,250,,100,,,250,,,,,2,440,260,2
1,8n,,,,,,,,,300,,,,,,,,,,,,,,
2,u7,Suueur,,,,,,,.,,,,,,.,,,,,,,,,
3,,,,,,,,,,,,,,,,,,5,,5,,,,
4,,,,,,,,,,,,,,,.,,,,,,,,,
5,,,,,,,,,,,,,,,,,10,10,,,,,,
6,5,,,,,,,,,,,,,,,,,,,,,,,
7,tn,,,,,,,,,,,,,,,,,,,,,,,
8,,,,0.2,,,,,,,,,,,,,,,,,,,,
9,3,Cup,,,,,,,,,,,,,,,,,,,,,,
10,,,,022,,,,,,,,,,,250,,,,,,,,,
11,u2,,,,,,,,,,,,,,,,,,,,,,,
12,,bot,,,,,,,,,,100,,,,,,,,,,,,
13,Siie,,I,,,,,,,,,,,A,pis,A,,,,,,,,
14,Naae,,,Beer,Beer,Beer,,,,,,,Ceeeeer,,,,Saat,,,,,,,
15,Naae,,,bia,bia,,,,epos,epos,epos,senene,sennne,,,,,,,,,,,eXueXu eK!sos
16,podd,Code,,451,,,,445,,,,490,490,467,462,,,444,464,465,465,,467,470
