,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,10,,,100,,120,,120,,,,350,,120,,1,,150,,200,,200,,
1,8n,,,,,,,,,,,,,,,,,,,,,,,
2,,suueur,100,,200,,200,,220,,,,200,,100,,150,,200,,220,,100,
3,9n,,,,,,,,,,,,,,,,,,,,,,,
4,cn,,,,,,,,,,,,,,,,,,,,,,,
5,t7,patae,,,,,,,,,,,,,,,,,,,,,,
6,u,cup,,,,,,,,,200,,,,,,,,,,,,,
7,u2,,,,,,,,,,,,,,,,,,,,,,,
8,u7,bout,200,,440,,400,,400,,400,,300,,200,,300,,440,,440,,,
9,Siie,,,,,,pid,,,A,,,pid,A,,,,A,,,,,pisI,
10,Naae,,,,,,,,,,,,,,,,,,,,,,,
11,Naae,,,,,,izeu,,,,,,,,,,,,,,,,,
12,podd,Cooe,,869,699,,099,099,667,,962,,,,99,99,,699,712,,7113,,154,154
