,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,10,Arrrrre,,,,09,,09,,09,,09,,,,,,,
1,8n,,,,,,,,,,,,,,,,,,
2,2n,,09,,09,,09,,09,,09,,09,,,200,300,300,300
3,gn,lpp,2,,2,,20,,20,,2,,,,,,,,
4,5,dsqp,,,,,,,,,,,2,,,,,,
5,th,,,,,,,,,,,,,,,300,300,300,300
6,u2,Cup,200,,200,,,,200,,220,,200,,,,,,
7,u2,,,,,,,,,,,,,,,,,,
8,,,440,,400,,400,,400,,400,,400,,,420,420,420,420
9,Siie,,,A,,,,,pis,,,A,,,,ps,pis,pis,pis
10,Naae,,,,,,,,,,,,,,,,,,
11,Naae,,,,,,,,,eanea eu eebee e ndns,,,,eu opuny e ueea e ndns,,,,,
12,podd,eode,,,878,878,878,878,678,878,088,088,687,,881,,,,
