,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,TOL,6l,2.10,1.00,3.90,3.90,210,330,00,,110,120,110,200,170,2.30,2.30,2.20,6
1,YIFF6,6w,2,,0,0,0,90,0,,0,2,0,0,,,,,022
2,NIA,2,,,,,,,0,,2,,,,,6,,,90
3,RBFF,6w,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,003
4,TIHA,6w,0,,,,0,,,0,0,,0,0,0,0,0,0,010
5,TTTC,6w,110,2.40,110,110,2.06,0'99,00,,116,114,50,09,110,2.50,250,,120
6,VTTE,6,,,00,,,00,00,0,,00,0'0,00,,,,2,
7,YTTD,6l,00,0,,00,00,00,00,00,00,00,,00,0,,0,0,00
8,ATYTA,,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0,0
9,VTTA,,,,140,140,,180,0,0,0,00,220,260,1.1600,11110,,40,0
10,,,232,,,,258,,397,858,254,,357,,260,,,,898
