,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,,10,Aerrrre,09,,09,,,,,09,,09,,,,,,,,,
1,,8n,,,,,,,,,,,,,,,,,,,,
2,,,seaeer,,,,09,09,,09,,09,,09,,,,,,,,
3,,uT,seaeer,,,,,,,,,,,,,,,,,,,
4,proorn,gn,,,,,,,,,,,,,,,,,,,,
5,,,,,2,,2,2,,20,,20,,2,,2,,2,,,,2
6,,cn,,,,,,,,,,,,,,,,,,2,,
7,,tn,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,220,,220,,220,,220,,200,,200,,,,220
9,,u2,Cup,,,,,,,,,,,,,,,,,,,
10,=ps,,,,,,,,,,,,,,,,,,,,,
11,,,,,440,,440,400,,400,,400,,440,,440,,400,,00t,,400
12,,Siie,,A,,,,,A,,,pid,,,A,pid,,pid,,,I,
13,,Naae,,,,,,,,,,,,,,,,,,,,
14,,poo,eooe,,832,892,,,,,998,998,,858,,098,098,,867,862,882,
