,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,,bw,1.300,40,,110,1.00,110,1110,0'89,1110,120,,,440,,110,210,
1,ARC,6w,2210,170,120,500,210,320,280,2420,2090,280,1120,1010,1000,210,320,090,244
2,TAL,bw,1680,,,210,220,240,,1380,1.190,220,0'86,1.100,0'08,110,240,,1.17
3,TFR,bw,1220,,,110,110,110,,110,1380,110,040,,,110,110,220,717
4,3HE,bw,,,2,220,1.10,210,1010,,1.000,220,1.000,1.000,,,210,400,1.10
5,CrS,6w,440,,,,40,0'9,550,350,5.50,09,220,210,1.10,,09,09,35
6,MET,bw,026,2,2,08,,0'9,1.000,410,1.000,08,210,310,440,,0'9,1.10,34
7,LXS,bw,3110,110,1.00,240,110,220,,1.10,,210,1000,1440,1210,200,220,,145
8,LEU,6w,3300,100,100,360,330,390,2490,1190,2490,470,1.60,1060,1120,300,3.90,,145
9,,,1170,,,240,110,220,2000,1100,2.100,210,,046,120,1.10,220,380,112
10,THR,bw,1.160,1.110,,,110,180,140,1.010,1.110,028,1.000,0'08,110,1.10,140,089,1000
11,TPP,6w,,,2,2,00,,2,,,210,310,,30,310,,1.10,300
