,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,Ser,bw,33,,1000,1100,1110,066,066,1000,717,1490,1040,270,1770,260
1,Prd,,,100,,,,,,200200280,,,850,,,210
2,,6w 6w,,14,220,272,,126,,200200280,,,,,,280
3,,,,,640,114,,969,969,480,175,,440,,089,
4,,6w,44,20,858,,066,808,808,098,,,008,170,,250
5,,6w,110,250,,,,,,,,,,,,
6,,,10019,270,,,,,,,,,,,,
7,,6w6w,5,110,,,,,,,,,,,,
8,,6w6w6w,2,,210,,,,,210,,,240,45,,69
9,,6w6w6w,,,570,610,210,,,,,,490,100,,150
10,,6u,46,,068,842,,,,098,809,,,180,120,185
11,,6u,46,,,,,,,,,,190,170,,260200
12,,6w,,8,,,,,,,,,820,110,,260200
13,,bw,S9,120,,,,,,,,,1000100,110160,,
14,tle,6w,44,20,,,,,,,,,1000100,110160,,
15,,6w 6w,378,699,8710,225,,118,198,200020000,204,,6550,1227,390,S5
16,,bw,,1114,,,20000,,,200020000,,,19860,,22610,
17,,,110,082,,224,380,,,345,244,,290,,,
