,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,,,,,,10,,,,,,05,00,826,826,,,0,0,04
1,,not,6,,,0,,,,,,,,,,,,,,
2,,,6,15,90,04,,,6,,90,90,0,,,60,00,:,,45
3,,,6,-,12,,,,,,,10,30,40,,20,08,10,,
4,,,,,20,,,30,,170,,,5'0,2.00,,150,09,64,120,
5,,,,4,45,45,,4,2,2,,8,8,4,,,,,2,
6,,,,,0,,,,,,,,,,,,000,000,000,
7,,,6,,,,,20,,0,01,,0.2,,0,,,,,
8,,,6,,,,,20,,,10,,02,,,,,,,
9,,,,,0,,,50,,0,10,,0.2,,00,00,000,000,000,
10,,,0,,0,,,30,,,,0,,,,,00,00,,
11,,,,90,,0'4,,110,,,0,,8'0,,,,,,0,02
12,Prro,fetm,,,10,,,14,,,,80,90,7,,90,,04,t'0,
13,keat,,,,,,,2,,,,,,,,,,,,
14,,,,110,,140,,,,,,440,,2800,,250,,,200,220
15,,ture,%,,,8,,,,,,,,,,,,,,
16,,,6,,4,,,,,,,,,,,,,,,
17,,,,,,,Fruk,,,,,,,,,,,,,
